province;red;green;blue;x;x
71;173;60;44;FU_PROV_71;x
72;228;181;221;FU_PROV_72;x
73;28;47;142;FU_PROV_73;x
74;83;169;63;FU_PROV_74;x
75;139;34;240;FU_PROV_75;x
76;194;156;161;FU_PROV_76;x
77;250;22;82;FU_PROV_77;x
78;49;144;3;FU_PROV_78;x
79;105;9;180;FU_PROV_79;x
80;160;131;101;FU_PROV_80;x
81;215;253;22;FU_PROV_81;x
82;15;118;199;FU_PROV_82;x
83;70;240;120;FU_PROV_83;x
84;126;106;41;FU_PROV_84;x
85;181;227;218;FU_PROV_85;x
86;237;93;139;FU_PROV_86;x
87;36;215;60;FU_PROV_87;x
88;92;80;237;FU_PROV_88;x
89;147;202;158;FU_PROV_89;x
90;203;68;79;FU_PROV_90;x
91;2;190;0;FU_PROV_91;x
92;58;55;177;FU_PROV_92;x
93;113;177;98;FU_PROV_93;x
94;169;43;19;FU_PROV_94;x
95;224;164;196;FU_PROV_95;x
96;24;30;117;FU_PROV_96;x
97;79;152;38;FU_PROV_97;x
98;135;17;215;FU_PROV_98;x
99;190;139;136;FU_PROV_99;x
100;246;5;57;FU_PROV_100;x
101;45;126;234;FU_PROV_101;x
102;100;248;155;FU_PROV_102;x
103;156;114;76;FU_PROV_103;x
104;211;235;253;FU_PROV_104;x
105;11;101;174;FU_PROV_105;x
106;66;223;95;FU_PROV_106;x
107;122;89;16;FU_PROV_107;x
108;177;210;193;FU_PROV_108;x
109;233;76;114;FU_PROV_109;x
110;32;198;35;FU_PROV_110;x
111;88;63;212;FU_PROV_111;x
112;143;185;133;FU_PROV_112;x
113;199;51;54;FU_PROV_113;x
114;254;172;231;FU_PROV_114;x
115;54;38;152;FU_PROV_115;x
116;109;160;73;FU_PROV_116;x
117;165;25;250;FU_PROV_117;x
118;220;147;171;FU_PROV_118;x
119;20;13;92;FU_PROV_119;x
120;75;135;13;FU_PROV_120;x
121;131;0;190;FU_PROV_121;x
122;186;122;111;FU_PROV_122;x
123;241;244;32;FU_PROV_123;x
124;41;109;209;FU_PROV_124;x
125;96;231;130;FU_PROV_125;x
126;152;97;51;FU_PROV_126;x
127;207;218;228;FU_PROV_127;x
128;7;84;149;FU_PROV_128;x
129;62;206;70;FU_PROV_129;x
130;118;71;247;FU_PROV_130;x
131;173;193;168;FU_PROV_131;x
132;229;59;89;FU_PROV_132;x
133;28;181;10;FU_PROV_133;x
134;84;46;187;FU_PROV_134;x
135;139;168;108;FU_PROV_135;x
136;195;34;29;FU_PROV_136;x
137;250;155;206;FU_PROV_137;x
138;50;21;127;FU_PROV_138;x
139;105;143;48;FU_PROV_139;x
140;161;8;225;FU_PROV_140;x
141;216;130;146;FU_PROV_141;x
142;15;252;67;FU_PROV_142;x
143;71;117;244;FU_PROV_143;x
144;126;239;165;FU_PROV_144;x
145;182;105;86;FU_PROV_145;x
146;237;227;7;FU_PROV_146;x
147;37;92;184;FU_PROV_147;x
148;92;214;105;FU_PROV_148;x
149;148;80;26;FU_PROV_149;x
150;203;201;203;FU_PROV_150;x
151;3;67;124;FU_PROV_151;x
152;58;189;45;FU_PROV_152;x
153;114;54;222;FU_PROV_153;x
154;169;176;143;FU_PROV_154;x
155;225;42;64;FU_PROV_155;x
156;24;163;241;FU_PROV_156;x
157;80;29;162;FU_PROV_157;x
158;135;151;83;FU_PROV_158;x
159;191;17;4;FU_PROV_159;x
160;246;138;181;FU_PROV_160;x
161;46;4;102;FU_PROV_161;x
162;101;126;23;FU_PROV_162;x
163;156;247;200;FU_PROV_163;x
164;212;113;121;FU_PROV_164;x
165;11;235;42;FU_PROV_165;x
166;67;100;219;FU_PROV_166;x
167;122;222;140;FU_PROV_167;x
168;178;88;61;FU_PROV_168;x
169;233;209;238;FU_PROV_169;x
170;33;75;159;FU_PROV_170;x
171;88;197;80;FU_PROV_171;x
172;144;63;1;FU_PROV_172;x
173;199;184;178;FU_PROV_173;x
174;255;50;99;FU_PROV_174;x
175;54;172;20;FU_PROV_175;x
176;110;37;197;FU_PROV_176;x
177;165;159;118;FU_PROV_177;x
178;221;25;39;FU_PROV_178;x
179;20;146;216;FU_PROV_179;x
180;76;12;137;FU_PROV_180;x
181;131;134;58;FU_PROV_181;x
182;186;255;235;FU_PROV_182;x
183;242;121;156;FU_PROV_183;x
184;41;243;77;FU_PROV_184;x
185;97;108;254;FU_PROV_185;x
186;152;230;175;FU_PROV_186;x
187;208;96;96;FU_PROV_187;x
188;7;218;17;FU_PROV_188;x
189;63;83;194;FU_PROV_189;x
190;118;205;115;FU_PROV_190;x
191;174;71;36;FU_PROV_191;x
192;229;192;213;FU_PROV_192;x
193;29;58;134;FU_PROV_193;x
194;84;180;55;FU_PROV_194;x
195;140;45;232;FU_PROV_195;x
196;195;167;153;FU_PROV_196;x
197;251;33;74;FU_PROV_197;x
198;50;154;251;FU_PROV_198;x
199;106;20;172;FU_PROV_199;x
200;161;142;93;FU_PROV_200;x
201;217;8;14;FU_PROV_201;x
202;16;129;191;FU_PROV_202;x
203;71;251;112;FU_PROV_203;x
204;127;117;33;FU_PROV_204;x
205;182;238;210;FU_PROV_205;x
206;238;104;131;FU_PROV_206;x
207;37;226;52;FU_PROV_207;x
208;93;91;229;FU_PROV_208;x
209;148;213;150;FU_PROV_209;x
210;204;79;71;FU_PROV_210;x
211;3;200;248;FU_PROV_211;x
212;59;66;169;FU_PROV_212;x
213;114;188;90;FU_PROV_213;x
214;170;54;11;FU_PROV_214;x
215;225;175;188;FU_PROV_215;x
216;25;41;109;FU_PROV_216;x
217;80;163;30;FU_PROV_217;x
218;136;28;207;FU_PROV_218;x
219;191;150;128;FU_PROV_219;x
220;247;16;49;FU_PROV_220;x
221;46;137;226;FU_PROV_221;x
222;102;3;147;FU_PROV_222;x
223;157;125;68;FU_PROV_223;x
224;212;246;245;FU_PROV_224;x
225;12;112;166;FU_PROV_225;x
226;67;234;87;FU_PROV_226;x
227;123;100;8;FU_PROV_227;x
228;178;221;185;FU_PROV_228;x
229;234;87;106;FU_PROV_229;x
230;33;209;27;FU_PROV_230;x
231;89;74;204;FU_PROV_231;x
232;144;196;125;FU_PROV_232;x
233;200;62;46;FU_PROV_233;x
234;255;183;223;FU_PROV_234;x
235;55;49;144;FU_PROV_235;x
236;110;171;65;FU_PROV_236;x
237;166;36;242;FU_PROV_237;x
238;221;158;163;FU_PROV_238;x
239;21;24;84;FU_PROV_239;x
240;76;146;5;FU_PROV_240;x
241;132;11;182;FU_PROV_241;x
242;187;133;103;FU_PROV_242;x
243;242;255;24;FU_PROV_243;x
244;42;120;201;FU_PROV_244;x
245;97;242;122;FU_PROV_245;x
246;153;108;43;FU_PROV_246;x
247;208;229;220;FU_PROV_247;x
248;8;95;141;FU_PROV_248;x
249;63;217;62;FU_PROV_249;x
250;119;82;239;FU_PROV_250;x
251;174;204;160;FU_PROV_251;x
252;230;70;81;FU_PROV_252;x
253;29;192;2;FU_PROV_253;x
254;85;57;179;FU_PROV_254;x
255;140;179;100;FU_PROV_255;x
256;196;45;21;FU_PROV_256;x
257;251;166;198;FU_PROV_257;x
258;51;32;119;FU_PROV_258;x
259;106;154;40;FU_PROV_259;x
260;162;19;217;FU_PROV_260;x
261;217;141;138;FU_PROV_261;x
262;17;7;59;FU_PROV_262;x
263;72;128;236;FU_PROV_263;x
264;127;250;157;FU_PROV_264;x
265;183;116;78;FU_PROV_265;x
266;238;237;255;FU_PROV_266;x
267;38;103;176;FU_PROV_267;x
268;93;225;97;FU_PROV_268;x
269;149;91;18;FU_PROV_269;x
270;204;212;195;FU_PROV_270;x
271;4;78;116;FU_PROV_271;x
272;59;200;37;FU_PROV_272;x
273;115;65;214;FU_PROV_273;x
274;170;187;135;FU_PROV_274;x
275;226;53;56;FU_PROV_275;x
276;25;174;233;FU_PROV_276;x
277;81;40;154;FU_PROV_277;x
278;136;162;75;FU_PROV_278;x
279;192;27;252;FU_PROV_279;x
280;247;149;173;FU_PROV_280;x
281;47;15;94;FU_PROV_281;x
282;102;137;15;FU_PROV_282;x
283;158;2;192;FU_PROV_283;x
284;213;124;113;FU_PROV_284;x
285;12;246;34;FU_PROV_285;x
286;68;111;211;FU_PROV_286;x
287;123;233;132;FU_PROV_287;x
288;179;99;53;FU_PROV_288;x
289;234;220;230;FU_PROV_289;x
290;34;86;151;FU_PROV_290;x
291;89;208;72;FU_PROV_291;x
292;145;73;249;FU_PROV_292;x
293;200;195;170;FU_PROV_293;x
294;0;61;91;FU_PROV_294;x
295;55;183;12;FU_PROV_295;x
296;111;48;189;FU_PROV_296;x
297;166;170;110;FU_PROV_297;x
298;222;36;31;FU_PROV_298;x
299;21;157;208;FU_PROV_299;x
300;77;23;129;FU_PROV_300;x
301;132;145;50;FU_PROV_301;x
302;188;10;227;FU_PROV_302;x
303;243;132;148;FU_PROV_303;x
304;42;254;69;FU_PROV_304;x
305;98;119;246;FU_PROV_305;x
306;153;241;167;FU_PROV_306;x
307;209;107;88;FU_PROV_307;x
308;8;229;9;FU_PROV_308;x
309;64;94;186;FU_PROV_309;x
310;119;216;107;FU_PROV_310;x
311;175;82;28;FU_PROV_311;x
312;230;203;205;FU_PROV_312;x
313;30;69;126;FU_PROV_313;x
314;85;191;47;FU_PROV_314;x
315;141;56;224;FU_PROV_315;x
316;196;178;145;FU_PROV_316;x
317;252;44;66;FU_PROV_317;x
318;51;165;243;FU_PROV_318;x
319;107;31;164;FU_PROV_319;x
320;162;153;85;FU_PROV_320;x
321;218;19;6;FU_PROV_321;x
322;17;140;183;FU_PROV_322;x
323;73;6;104;FU_PROV_323;x
324;128;128;25;FU_PROV_324;x
325;183;249;202;FU_PROV_325;x
326;239;115;123;FU_PROV_326;x
327;38;237;44;FU_PROV_327;x
328;94;102;221;FU_PROV_328;x
329;149;224;142;FU_PROV_329;x
330;205;90;63;FU_PROV_330;x
331;4;211;240;FU_PROV_331;x
332;60;77;161;FU_PROV_332;x
333;115;199;82;FU_PROV_333;x
334;171;65;3;FU_PROV_334;x
335;226;186;180;FU_PROV_335;x
336;26;52;101;FU_PROV_336;x
337;81;174;22;FU_PROV_337;x
338;137;39;199;FU_PROV_338;x
339;192;161;120;FU_PROV_339;x
340;248;27;41;FU_PROV_340;x
341;47;148;218;FU_PROV_341;x
342;103;14;139;FU_PROV_342;x
343;158;136;60;FU_PROV_343;x
344;214;1;237;FU_PROV_344;x
345;13;123;158;FU_PROV_345;x
346;68;245;79;FU_PROV_346;x
347;124;111;0;FU_PROV_347;x
348;179;232;177;FU_PROV_348;x
349;235;98;98;FU_PROV_349;x
350;34;220;19;FU_PROV_350;x
351;90;85;196;FU_PROV_351;x
352;145;207;117;FU_PROV_352;x
353;201;73;38;FU_PROV_353;x
354;0;194;215;FU_PROV_354;x
355;56;60;136;FU_PROV_355;x
356;111;182;57;FU_PROV_356;x
357;167;47;234;FU_PROV_357;x
358;222;169;155;FU_PROV_358;x
359;22;35;76;FU_PROV_359;x
360;77;156;253;FU_PROV_360;x
361;133;22;174;FU_PROV_361;x
362;188;144;95;FU_PROV_362;x
363;244;10;16;FU_PROV_363;x
364;43;131;193;FU_PROV_364;x
365;98;253;114;FU_PROV_365;x
366;154;119;35;FU_PROV_366;x
367;209;240;212;FU_PROV_367;x
368;9;106;133;FU_PROV_368;x
369;64;228;54;FU_PROV_369;x
370;120;93;231;FU_PROV_370;x
371;175;215;152;FU_PROV_371;x
372;231;81;73;FU_PROV_372;x
373;30;202;250;FU_PROV_373;x
374;86;68;171;FU_PROV_374;x
375;141;190;92;FU_PROV_375;x
376;197;56;13;FU_PROV_376;x
377;252;177;190;FU_PROV_377;x
378;52;43;111;FU_PROV_378;x
379;107;165;32;FU_PROV_379;x
380;163;30;209;FU_PROV_380;x
381;218;152;130;FU_PROV_381;x
382;18;18;51;FU_PROV_382;x
383;73;139;228;FU_PROV_383;x
384;129;5;149;FU_PROV_384;x
385;184;127;70;FU_PROV_385;x
386;239;248;247;FU_PROV_386;x
387;39;114;168;FU_PROV_387;x
388;94;236;89;FU_PROV_388;x
389;150;102;10;FU_PROV_389;x
390;205;223;187;FU_PROV_390;x
391;5;89;108;FU_PROV_391;x
392;60;211;29;FU_PROV_392;x
393;116;76;206;FU_PROV_393;x
394;171;198;127;FU_PROV_394;x
395;227;64;48;FU_PROV_395;x
396;26;185;225;FU_PROV_396;x
397;82;51;146;FU_PROV_397;x
398;137;173;67;FU_PROV_398;x
399;193;38;244;FU_PROV_399;x
400;248;160;165;FU_PROV_400;x
401;48;26;86;FU_PROV_401;x
402;103;148;7;FU_PROV_402;x
403;159;13;184;FU_PROV_403;x
404;214;135;105;FU_PROV_404;x
405;14;1;26;FU_PROV_405;x
406;69;122;203;FU_PROV_406;x
407;124;244;124;FU_PROV_407;x
408;180;110;45;FU_PROV_408;x
409;235;231;222;FU_PROV_409;x
410;35;97;143;FU_PROV_410;x
411;90;219;64;FU_PROV_411;x
412;146;84;241;FU_PROV_412;x
413;201;206;162;FU_PROV_413;x
414;1;72;83;FU_PROV_414;x
415;56;194;4;FU_PROV_415;x
416;112;59;181;FU_PROV_416;x
417;167;181;102;FU_PROV_417;x
418;223;47;23;FU_PROV_418;x
419;22;168;200;FU_PROV_419;x
420;78;34;121;FU_PROV_420;x
421;133;156;42;FU_PROV_421;x
422;189;21;219;FU_PROV_422;x
423;244;143;140;FU_PROV_423;x
424;44;9;61;FU_PROV_424;x
425;99;130;238;FU_PROV_425;x
426;154;252;159;FU_PROV_426;x
427;210;118;80;FU_PROV_427;x
428;9;240;1;FU_PROV_428;x
429;65;105;178;FU_PROV_429;x
430;120;227;99;FU_PROV_430;x
431;176;93;20;FU_PROV_431;x
432;231;214;197;FU_PROV_432;x
433;31;80;118;FU_PROV_433;x
434;86;202;39;FU_PROV_434;x
435;142;67;216;FU_PROV_435;x
436;197;189;137;FU_PROV_436;x
437;253;55;58;FU_PROV_437;x
438;52;176;235;FU_PROV_438;x
439;108;42;156;FU_PROV_439;x
440;163;164;77;FU_PROV_440;x
441;219;29;254;FU_PROV_441;x
442;18;151;175;FU_PROV_442;x
443;74;17;96;FU_PROV_443;x
444;129;139;17;FU_PROV_444;x
445;185;4;194;FU_PROV_445;x
446;240;126;115;FU_PROV_446;x
447;39;248;36;FU_PROV_447;x
448;95;113;213;FU_PROV_448;x
449;150;235;134;FU_PROV_449;x
450;206;101;55;FU_PROV_450;x
451;5;222;232;FU_PROV_451;x
452;61;88;153;FU_PROV_452;x
453;116;210;74;FU_PROV_453;x
454;172;75;251;FU_PROV_454;x
455;227;197;172;FU_PROV_455;x
456;27;63;93;FU_PROV_456;x
457;82;185;14;FU_PROV_457;x
458;138;50;191;FU_PROV_458;x
459;193;172;112;FU_PROV_459;x
460;249;38;33;FU_PROV_460;x
461;48;159;210;FU_PROV_461;x
462;104;25;131;FU_PROV_462;x
463;159;147;52;FU_PROV_463;x
464;215;12;229;FU_PROV_464;x
465;14;134;150;FU_PROV_465;x
466;70;0;71;FU_PROV_466;x
467;125;121;248;FU_PROV_467;x
468;180;243;169;FU_PROV_468;x
469;236;109;90;FU_PROV_469;x
470;35;231;11;FU_PROV_470;x
471;91;96;188;FU_PROV_471;x
472;146;218;109;FU_PROV_472;x
473;202;84;30;FU_PROV_473;x
474;1;205;207;FU_PROV_474;x
475;57;71;128;FU_PROV_475;x
476;112;193;49;FU_PROV_476;x
477;168;58;226;FU_PROV_477;x
478;223;180;147;FU_PROV_478;x
479;23;46;68;FU_PROV_479;x
480;78;167;245;FU_PROV_480;x
481;134;33;166;FU_PROV_481;x
482;189;155;87;FU_PROV_482;x
483;245;21;8;FU_PROV_483;x
484;44;142;185;FU_PROV_484;x
485;100;8;106;FU_PROV_485;x
486;155;130;27;FU_PROV_486;x
487;210;251;204;FU_PROV_487;x
488;10;117;125;FU_PROV_488;x
489;65;239;46;FU_PROV_489;x
490;121;104;223;FU_PROV_490;x
491;176;226;144;FU_PROV_491;x
492;232;92;65;FU_PROV_492;x
493;31;213;242;FU_PROV_493;x
494;87;79;163;FU_PROV_494;x
495;142;201;84;FU_PROV_495;x
496;198;67;5;FU_PROV_496;x
497;253;188;182;FU_PROV_497;x
498;53;54;103;FU_PROV_498;x
499;108;176;24;FU_PROV_499;x
500;164;41;201;FU_PROV_500;x
501;219;163;122;FU_PROV_501;x
502;19;29;43;FU_PROV_502;x
503;74;150;220;FU_PROV_503;x
504;130;16;141;FU_PROV_504;x
505;185;138;62;FU_PROV_505;x
506;241;3;239;FU_PROV_506;x
507;40;125;160;FU_PROV_507;x
508;95;247;81;FU_PROV_508;x
509;151;113;2;FU_PROV_509;x
510;206;234;179;FU_PROV_510;x
511;6;100;100;FU_PROV_511;x
512;61;222;21;FU_PROV_512;x
513;117;87;198;FU_PROV_513;x
514;172;209;119;FU_PROV_514;x
515;228;75;40;FU_PROV_515;x
516;27;196;217;FU_PROV_516;x
517;83;62;138;FU_PROV_517;x
518;138;184;59;FU_PROV_518;x
519;194;49;236;FU_PROV_519;x
520;249;171;157;FU_PROV_520;x
521;49;37;78;FU_PROV_521;x
522;104;158;255;FU_PROV_522;x
523;160;24;176;FU_PROV_523;x
524;215;146;97;FU_PROV_524;x
525;15;12;18;FU_PROV_525;x
526;70;133;195;FU_PROV_526;x
527;125;255;116;FU_PROV_527;x
528;181;121;37;FU_PROV_528;x
529;236;242;214;FU_PROV_529;x
530;36;108;135;FU_PROV_530;x
531;91;230;56;FU_PROV_531;x
532;147;95;233;FU_PROV_532;x
533;202;217;154;FU_PROV_533;x
534;2;83;75;FU_PROV_534;x
535;57;204;252;FU_PROV_535;x
536;113;70;173;FU_PROV_536;x
537;168;192;94;FU_PROV_537;x
538;224;58;15;FU_PROV_538;x
539;23;179;192;FU_PROV_539;x
540;79;45;113;FU_PROV_540;x
541;134;167;34;FU_PROV_541;x
542;190;32;211;FU_PROV_542;x
543;245;154;132;FU_PROV_543;x
544;45;20;53;FU_PROV_544;x
545;100;141;230;FU_PROV_545;x
546;156;7;151;FU_PROV_546;x
547;211;129;72;FU_PROV_547;x
548;10;250;249;FU_PROV_548;x
549;66;116;170;FU_PROV_549;x
550;121;238;91;FU_PROV_550;x
551;177;104;12;FU_PROV_551;x
552;232;225;189;FU_PROV_552;x
553;32;91;110;FU_PROV_553;x
554;87;213;31;FU_PROV_554;x
555;143;78;208;FU_PROV_555;x
556;198;200;129;FU_PROV_556;x
557;254;66;50;FU_PROV_557;x
558;53;187;227;FU_PROV_558;x
559;109;53;148;FU_PROV_559;x
560;164;175;69;FU_PROV_560;x
561;220;40;246;FU_PROV_561;x
562;19;162;167;FU_PROV_562;x
563;75;28;88;FU_PROV_563;x
564;130;150;9;FU_PROV_564;x
565;186;15;186;FU_PROV_565;x
566;241;137;107;FU_PROV_566;x
567;41;3;28;FU_PROV_567;x
568;96;124;205;FU_PROV_568;x
569;151;246;126;FU_PROV_569;x
570;207;112;47;FU_PROV_570;x
571;6;233;224;FU_PROV_571;x
572;62;99;145;FU_PROV_572;x
573;117;221;66;FU_PROV_573;x
574;173;86;243;FU_PROV_574;x
575;228;208;164;FU_PROV_575;x
576;28;74;85;FU_PROV_576;x
577;83;196;6;FU_PROV_577;x
578;139;61;183;FU_PROV_578;x
579;194;183;104;FU_PROV_579;x
580;250;49;25;FU_PROV_580;x
581;49;170;202;FU_PROV_581;x
582;105;36;123;FU_PROV_582;x
583;160;158;44;FU_PROV_583;x
584;216;23;221;FU_PROV_584;x
585;15;145;142;FU_PROV_585;x
586;71;11;63;FU_PROV_586;x
587;126;132;240;FU_PROV_587;x
588;181;254;161;FU_PROV_588;x
589;237;120;82;FU_PROV_589;x
590;36;242;3;FU_PROV_590;x
591;92;107;180;FU_PROV_591;x
592;147;229;101;FU_PROV_592;x
593;203;95;22;FU_PROV_593;x
594;2;216;199;FU_PROV_594;x
595;58;82;120;FU_PROV_595;x
596;113;204;41;FU_PROV_596;x
597;169;69;218;FU_PROV_597;x
598;224;191;139;FU_PROV_598;x
599;24;57;60;FU_PROV_599;x
600;79;178;237;FU_PROV_600;x
601;135;44;158;FU_PROV_601;x
602;190;166;79;FU_PROV_602;x
603;246;32;0;FU_PROV_603;x
604;45;153;177;FU_PROV_604;x
605;101;19;98;FU_PROV_605;x
606;156;141;19;FU_PROV_606;x
607;212;6;196;FU_PROV_607;x
608;11;128;117;FU_PROV_608;x
609;66;250;38;FU_PROV_609;x
610;122;115;215;FU_PROV_610;x
611;177;237;136;FU_PROV_611;x
612;233;103;57;FU_PROV_612;x
613;32;224;234;FU_PROV_613;x
614;88;90;155;FU_PROV_614;x
615;143;212;76;FU_PROV_615;x
616;199;77;253;FU_PROV_616;x
617;254;199;174;FU_PROV_617;x
618;54;65;95;FU_PROV_618;x
619;109;187;16;FU_PROV_619;x
620;165;52;193;FU_PROV_620;x
621;220;174;114;FU_PROV_621;x
622;20;40;35;FU_PROV_622;x
623;75;161;212;FU_PROV_623;x
624;131;27;133;FU_PROV_624;x
625;186;149;54;FU_PROV_625;x
626;242;14;231;FU_PROV_626;x
627;41;136;152;FU_PROV_627;x
628;97;2;73;FU_PROV_628;x
629;152;123;250;FU_PROV_629;x
630;207;245;171;FU_PROV_630;x
631;7;111;92;FU_PROV_631;x
632;62;233;13;FU_PROV_632;x
633;118;98;190;FU_PROV_633;x
634;173;220;111;FU_PROV_634;x
635;229;86;32;FU_PROV_635;x
636;28;207;209;FU_PROV_636;x
637;84;73;130;FU_PROV_637;x
638;139;195;51;FU_PROV_638;x
639;195;60;228;FU_PROV_639;x
640;250;182;149;FU_PROV_640;x
641;50;48;70;FU_PROV_641;x
642;105;169;247;FU_PROV_642;x
643;161;35;168;FU_PROV_643;x
644;216;157;89;FU_PROV_644;x
645;16;23;10;FU_PROV_645;x
646;71;144;187;FU_PROV_646;x
647;127;10;108;FU_PROV_647;x
648;182;132;29;FU_PROV_648;x
649;237;253;206;FU_PROV_649;x
650;37;119;127;FU_PROV_650;x
651;92;241;48;FU_PROV_651;x
652;148;106;225;FU_PROV_652;x
653;203;228;146;FU_PROV_653;x
654;3;94;67;FU_PROV_654;x
655;58;215;244;FU_PROV_655;x
656;114;81;165;FU_PROV_656;x
657;169;203;86;FU_PROV_657;x
658;225;69;7;FU_PROV_658;x
659;24;190;184;FU_PROV_659;x
660;80;56;105;FU_PROV_660;x
661;135;178;26;FU_PROV_661;x
662;191;43;203;FU_PROV_662;x
663;246;165;124;FU_PROV_663;x
664;46;31;45;FU_PROV_664;x
665;101;152;222;FU_PROV_665;x
666;157;18;143;FU_PROV_666;x
667;212;140;64;FU_PROV_667;x
668;12;5;241;FU_PROV_668;x
669;67;127;162;FU_PROV_669;x
670;122;249;83;FU_PROV_670;x
671;178;115;4;FU_PROV_671;x
672;233;236;181;FU_PROV_672;x
673;33;102;102;FU_PROV_673;x
674;88;224;23;FU_PROV_674;x
675;144;89;200;FU_PROV_675;x
676;199;211;121;FU_PROV_676;x
677;255;77;42;FU_PROV_677;x
678;54;198;219;FU_PROV_678;x
679;110;64;140;FU_PROV_679;x
680;165;186;61;FU_PROV_680;x
681;221;51;238;FU_PROV_681;x
682;20;173;159;FU_PROV_682;x
683;76;39;80;FU_PROV_683;x
684;131;161;1;FU_PROV_684;x
685;187;26;178;FU_PROV_685;x
686;242;148;99;FU_PROV_686;x
687;42;14;20;FU_PROV_687;x
688;97;135;197;FU_PROV_688;x
689;153;1;118;FU_PROV_689;x
690;208;123;39;FU_PROV_690;x
691;7;244;216;FU_PROV_691;x
692;63;110;137;FU_PROV_692;x
693;118;232;58;FU_PROV_693;x
694;174;97;235;FU_PROV_694;x
695;229;219;156;FU_PROV_695;x
696;29;85;77;FU_PROV_696;x
697;84;206;254;FU_PROV_697;x
698;140;72;175;FU_PROV_698;x
699;195;194;96;FU_PROV_699;x
700;251;60;17;FU_PROV_700;x
701;50;181;194;FU_PROV_701;x
702;106;47;115;FU_PROV_702;x
703;161;169;36;FU_PROV_703;x
704;217;34;213;FU_PROV_704;x
705;16;156;134;FU_PROV_705;x
706;72;22;55;FU_PROV_706;x
707;127;143;232;FU_PROV_707;x
708;183;9;153;FU_PROV_708;x
709;238;131;74;FU_PROV_709;x
710;37;252;251;FU_PROV_710;x
711;93;118;172;FU_PROV_711;x
712;148;240;93;FU_PROV_712;x
713;204;106;14;FU_PROV_713;x
714;3;227;191;FU_PROV_714;x
715;59;93;112;FU_PROV_715;x
716;114;215;33;FU_PROV_716;x
717;170;80;210;FU_PROV_717;x
718;225;202;131;FU_PROV_718;x
719;25;68;52;FU_PROV_719;x
720;80;189;229;FU_PROV_720;x
721;136;55;150;FU_PROV_721;x
722;191;177;71;FU_PROV_722;x
723;247;42;248;FU_PROV_723;x
724;46;164;169;FU_PROV_724;x
725;102;30;90;FU_PROV_725;x
726;157;152;11;FU_PROV_726;x
727;213;17;188;FU_PROV_727;x
728;12;139;109;FU_PROV_728;x
729;68;5;30;FU_PROV_729;x
730;123;126;207;FU_PROV_730;x
731;178;248;128;FU_PROV_731;x
732;234;114;49;FU_PROV_732;x
733;33;235;226;FU_PROV_733;x
734;89;101;147;FU_PROV_734;x
735;144;223;68;FU_PROV_735;x
