eu4_region;internal_key;display_name;hoi4_strategic_region_id;hoi4_strategic_region_name;area_count
86;fu_strategic_region_62;Chalsace;62;Chalsace;3
87;fu_strategic_region_64;Lutecie;64;Lutecie;10
88;fu_strategic_region_65;Midi-Sunazure;65;Midi-Sunazure;5
89;fu_strategic_region_79;Central Solakean Sea;79;Central Solakean Sea;1
90;fu_strategic_region_66;Bocerie;66;Bocerie;6
91;fu_strategic_region_69;Bruvergne;69;Bruvergne;6
92;fu_strategic_region_145;Mer De Qualie;145;Mer De Qualie;2
93;fu_strategic_region_70;Demotagne;70;Demotagne;3
94;fu_strategic_region_144;Triplet Bay;144;Triplet Bay;1
95;fu_strategic_region_72;Massif Roqual;72;Massif Roqual;7
96;fu_strategic_region_72_2;Massif Roqual;72;Massif Roqual;2
97;fu_strategic_region_71;Poitouamie;71;Poitouamie;2
98;fu_strategic_region_73;Animequitaine;73;Animequitaine;7
99;fu_strategic_region_78;Solakean Strait;78;Solakean Strait;1
100;fu_strategic_region_74;Takicardie;74;Takicardie;2
101;fu_strategic_region_80;Western Solakean Sea;80;Western Solakean Sea;1
102;fu_strategic_region_96;Battlebuns Frontier;96;Battlebuns Frontier;6
103;fu_strategic_region_76;Alkroan Peninsula;76;Alkroan Peninsula;4
104;fu_strategic_region_76_2;Alkroan Peninsula;76;Alkroan Peninsula;3
105;fu_strategic_region_84;Lalaland;84;Lalaland;6
106;fu_strategic_region_82;Bunville;82;Bunville;6
107;fu_strategic_region_82_2;Bunville;82;Bunville;6
108;fu_strategic_region_83;Harelyne;83;Harelyne;5
109;fu_strategic_region_82_3;Bunville;82;Bunville;4
110;fu_strategic_region_85;Vasmar;85;Vasmar;9
111;fu_strategic_region_87;Talsan'ar;87;Talsan'ar;6
112;fu_strategic_region_86;Hushed Forest;86;Hushed Forest;1
113;fu_strategic_region_88;Buncible;88;Buncible;9
114;fu_strategic_region_91;Lakeside City;91;Lakeside City;8
115;fu_strategic_region_91_2;Lakeside City;91;Lakeside City;1
116;fu_strategic_region_92;Watermaster Domain;92;Watermaster Domain;3
117;fu_strategic_region_194;Oshian Channel;194;Oshian Channel;1
118;fu_strategic_region_93;Karrotia;93;Karrotia;3
119;fu_strategic_region_192;Vasmar Channel;192;Vasmar Channel;1
120;fu_strategic_region_95;Airmaster Sanctuaries;95;Airmaster Sanctuaries;8
121;fu_strategic_region_94;Earthmaster Quarries;94;Earthmaster Quarries;8
122;fu_strategic_region_97;Kepler;97;Kepler;6
123;fu_strategic_region_98;Plaveta;98;Plaveta;6
124;fu_strategic_region_98_2;Plaveta;98;Plaveta;5
125;fu_strategic_region_109;Majakhemer;109;Majakhemer;9
126;fu_strategic_region_99;Datlof;99;Datlof;1
127;fu_strategic_region_108;The Valley;108;The Valley;8
128;fu_strategic_region_103;Nekaston;103;Nekaston;7
129;fu_strategic_region_103_2;Nekaston;103;Nekaston;2
130;fu_strategic_region_119;Brekarya;119;Brekarya;7
131;fu_strategic_region_104;Teryakr;104;Teryakr;2
132;fu_strategic_region_105;Mount Izwae;105;Mount Izwae;6
133;fu_strategic_region_115;Lundil;115;Lundil;9
134;fu_strategic_region_146;Solstia;146;Solstia;10
135;fu_strategic_region_113;Dov'Gil;113;Dov'Gil;8
136;fu_strategic_region_112;Coltur;112;Coltur;4
137;fu_strategic_region_204;Siina Sea;204;Siina Sea;1
138;fu_strategic_region_114;Vauro;114;Vauro;2
139;fu_strategic_region_202;Lintersea;202;Lintersea;1
140;fu_strategic_region_116;Nacru;116;Nacru;9
141;fu_strategic_region_116_2;Nacru;116;Nacru;1
142;fu_strategic_region_118;Cerepisenia;118;Cerepisenia;9
143;fu_strategic_region_206;Purrhelmshaven;206;Purrhelmshaven;1
144;fu_strategic_region_140;Krokatzia;140;Krokatzia;6
145;fu_strategic_region_140_2;Krokatzia;140;Krokatzia;5
146;fu_strategic_region_120;Bryumen;120;Bryumen;5
147;fu_strategic_region_122;Xoeken;122;Xoeken;9
148;fu_strategic_region_125;Zuspriland;125;Zuspriland;5
149;fu_strategic_region_126;Pawldrin Island;126;Pawldrin Island;1
150;fu_strategic_region_125_2;Zuspriland;125;Zuspriland;6
151;fu_strategic_region_125_3;Zuspriland;125;Zuspriland;6
152;fu_strategic_region_282;Snowdonia;282;Snowdonia;8
153;fu_strategic_region_128;Zuspri Waters;128;Zuspri Waters;1
154;fu_strategic_region_282_2;Snowdonia;282;Snowdonia;3
155;fu_strategic_region_282_3;Snowdonia;282;Snowdonia;1
156;fu_strategic_region_129;Sudflutstadt;129;Sudflutstadt;5
157;fu_strategic_region_129_2;Sudflutstadt;129;Sudflutstadt;1
158;fu_strategic_region_132;Valaros;132;Valaros;6
159;fu_strategic_region_132_2;Valaros;132;Valaros;1
160;fu_strategic_region_133;Myriad;133;Myriad;4
161;fu_strategic_region_133_2;Myriad;133;Myriad;2
162;fu_strategic_region_133_3;Myriad;133;Myriad;6
163;fu_strategic_region_133_4;Myriad;133;Myriad;1
164;fu_strategic_region_383;Flusionea11;383;Flusionea11;6
165;fu_strategic_region_383_2;Flusionea11;383;Flusionea11;3
166;fu_strategic_region_383_3;Flusionea11;383;Flusionea11;1
167;fu_strategic_region_141;Rustalia;141;Rustalia;8
168;fu_strategic_region_141_2;Rustalia;141;Rustalia;6
169;fu_strategic_region_167;Mewraine;167;Mewraine;3
170;fu_strategic_region_142;Fleäderreich;142;Fleäderreich;3
171;fu_strategic_region_236;Mercurian Trench;236;Mercurian Trench;3
172;fu_strategic_region_237;Tiefland;237;Tiefland;6
173;fu_strategic_region_143;Central Sun Sea;143;Central Sun Sea;4
174;fu_strategic_region_143_2;Central Sun Sea;143;Central Sun Sea;2
175;fu_strategic_region_153;Katteneiland;153;Katteneiland;6
176;fu_strategic_region_153_2;Katteneiland;153;Katteneiland;4
177;fu_strategic_region_155;Haranian Channel;155;Haranian Channel;2
178;fu_strategic_region_153_3;Katteneiland;153;Katteneiland;1
179;fu_strategic_region_155_2;Haranian Channel;155;Haranian Channel;2
180;fu_strategic_region_154;West Katteneiland Sea;154;West Katteneiland Sea;2
181;fu_strategic_region_156;Novaplatten Channel;156;Novaplatten Channel;1
182;fu_strategic_region_159;Eulysses Bay;159;Eulysses Bay;3
183;fu_strategic_region_174;Antero;174;Antero;3
184;fu_strategic_region_157;Southern Arivoejan Ocean;157;Southern Arivoejan Ocean;1
185;fu_strategic_region_158;Novhurst;158;Novhurst;7
186;fu_strategic_region_161;Arivoejan Mountains;161;Arivoejan Mountains;6
187;fu_strategic_region_160;The Swamplands;160;The Swamplands;7
188;fu_strategic_region_160_2;The Swamplands;160;The Swamplands;2
189;fu_strategic_region_161_2;Arivoejan Mountains;161;Arivoejan Mountains;6
190;fu_strategic_region_161_3;Arivoejan Mountains;161;Arivoejan Mountains;2
191;fu_strategic_region_164;Loutterian Peninsula;164;Loutterian Peninsula;4
192;fu_strategic_region_164_2;Loutterian Peninsula;164;Loutterian Peninsula;2
193;fu_strategic_region_162;Central Arivoejo;162;Central Arivoejo;6
194;fu_strategic_region_164_3;Loutterian Peninsula;164;Loutterian Peninsula;5
195;fu_strategic_region_166;East Kapland;166;East Kapland;5
196;fu_strategic_region_163;Northern Ariveojan Oceans;163;Northern Ariveojan Oceans;3
197;fu_strategic_region_165;West Kapland;165;West Kapland;6
198;fu_strategic_region_169;Procione Heartlands;169;Procione Heartlands;6
199;fu_strategic_region_169_2;Procione Heartlands;169;Procione Heartlands;3
200;fu_strategic_region_171;Arivoshian Ocean;171;Arivoshian Ocean;3
201;fu_strategic_region_172;Kipu;172;Kipu;8
202;fu_strategic_region_175;Haranian Steppes;175;Haranian Steppes;6
203;fu_strategic_region_177;Central Harania;177;Central Harania;3
204;fu_strategic_region_179;Endless Gate;179;Endless Gate;2
205;fu_strategic_region_182;Fenntown Tundra;182;Fenntown Tundra;2
206;fu_strategic_region_181;Foxsnot;181;Foxsnot;2
207;fu_strategic_region_183;Penghattan;183;Penghattan;3
208;fu_strategic_region_187;Penglia;187;Penglia;3
209;fu_strategic_region_185;Western Pinglandia;185;Western Pinglandia;3
210;fu_strategic_region_254;Eastern Arivoshean Ocean;254;Eastern Arivoshean Ocean;1
211;fu_strategic_region_371;Spri11;371;Spri11;5
212;fu_strategic_region_189;Darvitonian Shores;189;Darvitonian Shores;2
213;fu_strategic_region_304;Kronkstaat;304;Kronkstaat;8
214;fu_strategic_region_197;Lower Crabspian Sea;197;Lower Crabspian Sea;1
215;fu_strategic_region_304_2;Kronkstaat;304;Kronkstaat;1
216;fu_strategic_region_304_3;Kronkstaat;304;Kronkstaat;1
217;fu_strategic_region_301;Southern Enotita;301;Southern Enotita;6
218;fu_strategic_region_301_2;Southern Enotita;301;Southern Enotita;6
219;fu_strategic_region_200;Amfibien;200;Amfibien;6
220;fu_strategic_region_303;Amphisk;303;Amphisk;6
221;fu_strategic_region_200_2;Amfibien;200;Amfibien;6
222;fu_strategic_region_384;X.I.R.;384;X.I.R.;5
223;fu_strategic_region_205;Purrhelmshaven Shores;205;Purrhelmshaven Shores;1
224;fu_strategic_region_207;Western Sueno Del Sol;207;Western Sueno Del Sol;6
225;fu_strategic_region_229;Belkansavet Approaches;229;Belkansavet Approaches;3
226;fu_strategic_region_208;Eastern Sueno Del Sol;208;Eastern Sueno Del Sol;3
227;fu_strategic_region_266;Central Flusiocean;266;Central Flusiocean;1
228;fu_strategic_region_210;Bojnika;210;Bojnika;6
229;fu_strategic_region_209;Belkansavet;209;Belkansavet;1
230;fu_strategic_region_211;Frusia;211;Frusia;7
231;fu_strategic_region_213;Oredsk;213;Oredsk;6
232;fu_strategic_region_213_2;Oredsk;213;Oredsk;1
233;fu_strategic_region_216;Dhalmaciti;216;Dhalmaciti;8
234;fu_strategic_region_214;Nerva;214;Nerva;2
235;fu_strategic_region_217;Ballatonne Basin;217;Ballatonne Basin;5
236;fu_strategic_region_217_2;Ballatonne Basin;217;Ballatonne Basin;1
237;fu_strategic_region_215;Crngrad;215;Crngrad;3
238;fu_strategic_region_217_3;Ballatonne Basin;217;Ballatonne Basin;2
239;fu_strategic_region_217_4;Ballatonne Basin;217;Ballatonne Basin;1
240;fu_strategic_region_218;Hivelands;218;Hivelands;4
241;fu_strategic_region_253;Pengrak Waters;253;Pengrak Waters;1
242;fu_strategic_region_220;Alraxia;220;Alraxia;5
243;fu_strategic_region_224;Novoshian Shores;224;Novoshian Shores;6
244;fu_strategic_region_221;Kirtikia;221;Kirtikia;1
245;fu_strategic_region_315;Droogia2;315;Droogia2;7
246;fu_strategic_region_248;Antophilia;248;Antophilia;8
247;fu_strategic_region_248_2;Antophilia;248;Antophilia;2
248;fu_strategic_region_225;New Novarat;225;New Novarat;3
249;fu_strategic_region_233;Donofettian Ridge;233;Donofettian Ridge;1
250;fu_strategic_region_228;Southern Flusiocean;228;Southern Flusiocean;2
251;fu_strategic_region_231;Propanian Shores;231;Propanian Shores;2
252;fu_strategic_region_240;Oervoud;240;Oervoud;5
253;fu_strategic_region_232;Altarian Ridge;232;Altarian Ridge;2
254;fu_strategic_region_239;Northern Altaria;239;Northern Altaria;6
255;fu_strategic_region_234;Poltro Sea;234;Poltro Sea;3
256;fu_strategic_region_235;Duuhr Sea;235;Duuhr Sea;6
257;fu_strategic_region_256;Mercurian Gulf;256;Mercurian Gulf;3
258;fu_strategic_region_241;Hyphaeicia;241;Hyphaeicia;6
259;fu_strategic_region_238;Groundhogistan;238;Groundhogistan;4
260;fu_strategic_region_238_2;Groundhogistan;238;Groundhogistan;1
261;fu_strategic_region_242;Altarimen Roams;242;Altarimen Roams;7
262;fu_strategic_region_316;Greater Saru;316;Greater Saru;9
263;fu_strategic_region_245;Droogia;245;Droogia;6
264;fu_strategic_region_245_2;Droogia;245;Droogia;1
265;fu_strategic_region_323;Parelia2;323;Parelia2;8
266;fu_strategic_region_324;Formicidea2;324;Formicidea2;5
267;fu_strategic_region_324_2;Formicidea2;324;Formicidea2;2
268;fu_strategic_region_247;Formicidea;247;Formicidea;4
269;fu_strategic_region_247_2;Formicidea;247;Formicidea;1
270;fu_strategic_region_322;Variitia2;322;Variitia2;5
271;fu_strategic_region_322_2;Variitia2;322;Variitia2;2
272;fu_strategic_region_249;Variitia;249;Variitia;4
273;fu_strategic_region_249_2;Variitia;249;Variitia;2
274;fu_strategic_region_250;Frusian Savannah;250;Frusian Savannah;5
275;fu_strategic_region_252;Kerak;252;Kerak;5
276;fu_strategic_region_327;Hivelands2;327;Hivelands2;6
277;fu_strategic_region_389;Zachodterenia;389;Zachodterenia;4
278;fu_strategic_region_255;Anatheman Waters;255;Anatheman Waters;1
279;fu_strategic_region_261;Laurnaise Approaches;261;Laurnaise Approaches;3
280;fu_strategic_region_296;Tatsania;296;Tatsania;8
281;fu_strategic_region_258;Laurnaise Channel;258;Laurnaise Channel;1
282;fu_strategic_region_262;Polarian Islands;262;Polarian Islands;2
283;fu_strategic_region_276;Frigid Approaches;276;Frigid Approaches;1
284;fu_strategic_region_263;Lux-Flupanian Waters;263;Lux-Flupanian Waters;1
285;fu_strategic_region_279;Northwestern Flusiocean;279;Northwestern Flusiocean;1
286;fu_strategic_region_264;Western Flusiocean;264;Western Flusiocean;1
287;fu_strategic_region_275;Polar Flusiocean;275;Polar Flusiocean;2
288;fu_strategic_region_385;Naturopolis Marshes;385;Naturopolis Marshes;9
289;fu_strategic_region_267;Lake Mercurr;267;Lake Mercurr;1
290;fu_strategic_region_268;West Pawcific;268;West Pawcific;2
291;fu_strategic_region_278;Snowdonian Cape;278;Snowdonian Cape;2
292;fu_strategic_region_280;Ibrumore;280;Ibrumore;6
293;fu_strategic_region_299;Arkbus;299;Arkbus;6
294;fu_strategic_region_299_2;Arkbus;299;Arkbus;4
295;fu_strategic_region_281;Giant Metallic Hearts of Iron Divider;281;Giant Metallic Hearts of Iron Divider;1
296;fu_strategic_region_295;Central Laurandar;295;Central Laurandar;6
297;fu_strategic_region_295_2;Central Laurandar;295;Central Laurandar;1
298;fu_strategic_region_295_3;Central Laurandar;295;Central Laurandar;4
299;fu_strategic_region_285;Bramble Basins;285;Bramble Basins;6
300;fu_strategic_region_286;The Dish;286;The Dish;6
301;fu_strategic_region_286_2;The Dish;286;The Dish;1
302;fu_strategic_region_287;Stone Kolechia;287;Stone Kolechia;8
303;fu_strategic_region_290;Sanguine Hills;290;Sanguine Hills;3
304;fu_strategic_region_382;Flusionea10;382;Flusionea10;8
305;fu_strategic_region_288;Red Kolechia;288;Red Kolechia;1
306;fu_strategic_region_382_2;Flusionea10;382;Flusionea10;1
307;fu_strategic_region_382_3;Flusionea10;382;Flusionea10;1
308;fu_strategic_region_288_2;Red Kolechia;288;Red Kolechia;1
309;fu_strategic_region_288_3;Red Kolechia;288;Red Kolechia;1
310;fu_strategic_region_382_4;Flusionea10;382;Flusionea10;1
311;fu_strategic_region_289;Sand Kolechia;289;Sand Kolechia;9
312;fu_strategic_region_379;Flusionea7;379;Flusionea7;1
313;fu_strategic_region_292;Solakean Shores;292;Solakean Shores;6
314;fu_strategic_region_294;Broukburn-Meagas;294;Broukburn-Meagas;5
315;fu_strategic_region_294_2;Broukburn-Meagas;294;Broukburn-Meagas;1
316;fu_strategic_region_294_3;Broukburn-Meagas;294;Broukburn-Meagas;5
317;fu_strategic_region_294_4;Broukburn-Meagas;294;Broukburn-Meagas;1
318;fu_strategic_region_344;Midflusionea3;344;Midflusionea3;4
319;fu_strategic_region_344_2;Midflusionea3;344;Midflusionea3;1
320;fu_strategic_region_294_5;Broukburn-Meagas;294;Broukburn-Meagas;5
321;fu_strategic_region_298;Ejac;298;Ejac;6
322;fu_strategic_region_297;Dredshire;297;Dredshire;6
323;fu_strategic_region_298_2;Ejac;298;Ejac;3
324;fu_strategic_region_297_2;Dredshire;297;Dredshire;5
325;fu_strategic_region_297_3;Dredshire;297;Dredshire;2
326;fu_strategic_region_331;Puffiland3;331;Puffiland3;4
327;fu_strategic_region_300;Lebril;300;Lebril;7
328;fu_strategic_region_302;Crabby Shores;302;Crabby Shores;6
329;fu_strategic_region_342;Nordenland;342;Nordenland;5
330;fu_strategic_region_342_2;Nordenland;342;Nordenland;2
331;fu_strategic_region_342_3;Nordenland;342;Nordenland;2
332;fu_strategic_region_342_4;Nordenland;342;Nordenland;1
333;fu_strategic_region_305;Kronk5;305;Kronk5;5
334;fu_strategic_region_305_2;Kronk5;305;Kronk5;2
335;fu_strategic_region_377;Flusionea5;377;Flusionea5;3
336;fu_strategic_region_377_2;Flusionea5;377;Flusionea5;1
337;fu_strategic_region_314;Kronmea;314;Kronmea;9
338;fu_strategic_region_306;Genevekt;306;Genevekt;3
339;fu_strategic_region_309;Greater Bundengrad;309;Greater Bundengrad;6
340;fu_strategic_region_309_2;Greater Bundengrad;309;Greater Bundengrad;1
341;fu_strategic_region_307;Yinjatzbereich;307;Yinjatzbereich;5
342;fu_strategic_region_307_2;Yinjatzbereich;307;Yinjatzbereich;1
343;fu_strategic_region_308;Aleksis;308;Aleksis;6
344;fu_strategic_region_308_2;Aleksis;308;Aleksis;5
345;fu_strategic_region_310;Hydronien;310;Hydronien;2
346;fu_strategic_region_310_2;Hydronien;310;Hydronien;1
347;fu_strategic_region_311;Zikua;311;Zikua;6
348;fu_strategic_region_312;Erokt;312;Erokt;5
349;fu_strategic_region_311_2;Zikua;311;Zikua;2
350;fu_strategic_region_353;Midflusionea12;353;Midflusionea12;6
351;fu_strategic_region_353_2;Midflusionea12;353;Midflusionea12;1
352;fu_strategic_region_313;Sudgrad;313;Sudgrad;5
353;fu_strategic_region_317;Droogia4;317;Droogia4;7
354;fu_strategic_region_326;Formicidea4;326;Formicidea4;2
355;fu_strategic_region_318;Macaquian Far South;318;Macaquian Far South;7
356;fu_strategic_region_325;Formicidea3;325;Formicidea3;9
357;fu_strategic_region_325_2;Formicidea3;325;Formicidea3;1
358;fu_strategic_region_332;Puffiland4;332;Puffiland4;9
359;fu_strategic_region_334;Puffiland6;334;Puffiland6;10
360;fu_strategic_region_335;Puffiland7;335;Puffiland7;9
361;fu_strategic_region_336;Puffiland8;336;Puffiland8;9
362;fu_strategic_region_339;Puffiland11;339;Puffiland11;2
363;fu_strategic_region_340;Puffiland12;340;Puffiland12;10
364;fu_strategic_region_338;Puffiland10;338;Puffiland10;6
365;fu_strategic_region_359;Midflusionea18;359;Midflusionea18;1
366;fu_strategic_region_343;Midflusionea2;343;Midflusionea2;6
367;fu_strategic_region_343_2;Midflusionea2;343;Midflusionea2;2
368;fu_strategic_region_341;Neuvoria;341;Neuvoria;2
369;fu_strategic_region_341_2;Neuvoria;341;Neuvoria;1
370;fu_strategic_region_346;Midflusionea5;346;Midflusionea5;5
371;fu_strategic_region_346_2;Midflusionea5;346;Midflusionea5;1
372;fu_strategic_region_345;Midflusionea4;345;Midflusionea4;4
373;fu_strategic_region_345_2;Midflusionea4;345;Midflusionea4;1
374;fu_strategic_region_348;Midflusionea7;348;Midflusionea7;7
375;fu_strategic_region_349;Midflusionea8;349;Midflusionea8;2
376;fu_strategic_region_350;Midflusionea9;350;Midflusionea9;5
377;fu_strategic_region_351;Midflusionea10;351;Midflusionea10;7
378;fu_strategic_region_351_2;Midflusionea10;351;Midflusionea10;2
379;fu_strategic_region_356;Midflusionea15;356;Midflusionea15;6
380;fu_strategic_region_354;Midflusionea13;354;Midflusionea13;2
381;fu_strategic_region_355;Midflusionea14;355;Midflusionea14;8
382;fu_strategic_region_358;Midflusionea17;358;Midflusionea17;2
383;fu_strategic_region_360;Midflusionea19;360;Midflusionea19;7
384;fu_strategic_region_360_2;Midflusionea19;360;Midflusionea19;1
385;fu_strategic_region_363;Spri3;363;Spri3;8
386;fu_strategic_region_365;Spri5;365;Spri5;7
387;fu_strategic_region_365_2;Spri5;365;Spri5;2
388;fu_strategic_region_367;Spri7;367;Spri7;9
389;fu_strategic_region_369;Spri9;369;Spri9;7
390;fu_strategic_region_369_2;Spri9;369;Spri9;3
391;fu_strategic_region_373;Flusionea1;373;Flusionea1;6
392;fu_strategic_region_370;Spri10;370;Spri10;5
393;fu_strategic_region_370_2;Spri10;370;Spri10;1
394;fu_strategic_region_374;Flusionea2;374;Flusionea2;4
395;fu_strategic_region_374_2;Flusionea2;374;Flusionea2;2
396;fu_strategic_region_372;Spri12;372;Spri12;4
397;fu_strategic_region_372_2;Spri12;372;Spri12;1
398;fu_strategic_region_376;Flusionea4;376;Flusionea4;7
399;fu_strategic_region_378;Flusionea6;378;Flusionea6;6
400;fu_strategic_region_380;Flusionea8;380;Flusionea8;1
401;fu_strategic_region_380_2;Flusionea8;380;Flusionea8;5
402;fu_strategic_region_380_3;Flusionea8;380;Flusionea8;2
403;fu_strategic_region_387;Mercurian Mountains;387;Mercurian Mountains;8
404;fu_strategic_region_381;Flusionea9;381;Flusionea9;4
405;fu_strategic_region_381_2;Flusionea9;381;Flusionea9;5
406;fu_strategic_region_381_3;Flusionea9;381;Flusionea9;1
407;fu_strategic_region_381_4;Flusionea9;381;Flusionea9;2
408;fu_strategic_region_386;Great Grove Ridge;386;Great Grove Ridge;10
