province_id;hoi4_terrain;eu4_terrain_index
297;frozen;16
298;mountain;6
299;frozen;16
300;plains;4
301;plains;4
302;frozen;16
303;frozen;16
304;plains;4
305;plains;4
306;mountain;6
307;forest;12
308;ocean;15
309;ocean;15
310;frozen;16
311;frozen;16
312;mountain;6
313;forest;12
314;frozen;16
315;ocean;15
316;ocean;15
317;ocean;15
318;ocean;15
319;ocean;15
320;ocean;15
321;lakes;17
322;mountain;6
323;mountain;6
324;ocean;15
325;ocean;15
326;ocean;15
327;ocean;15
328;lakes;17
329;lakes;17
330;frozen;16
331;ocean;15
332;ocean;15
333;frozen;16
334;ocean;15
335;ocean;15
336;frozen;16
337;plains;4
338;plains;4
339;ocean;15
340;ocean;15
341;hills;1
342;ocean;15
343;mountain;6
344;plains;4
345;mountain;6
346;frozen;16
347;ocean;15
348;ocean;15
349;ocean;15
350;ocean;15
351;frozen;16
352;ocean;15
353;ocean;15
354;ocean;15
355;mountain;6
356;mountain;6
357;mountain;6
358;mountain;6
359;mountain;6
360;mountain;6
361;frozen;16
362;frozen;16
363;frozen;16
364;hills;1
365;frozen;16
366;frozen;16
367;frozen;16
368;frozen;16
369;frozen;16
370;plains;4
371;plains;4
372;plains;4
373;plains;4
374;ocean;15
375;lakes;17
376;lakes;17
377;lakes;17
378;lakes;17
379;lakes;17
380;lakes;17
381;ocean;15
382;ocean;15
383;ocean;15
384;ocean;15
385;ocean;15
386;ocean;15
387;ocean;15
388;ocean;15
389;ocean;15
390;ocean;15
391;ocean;15
392;ocean;15
393;ocean;15
394;ocean;15
395;ocean;15
396;ocean;15
397;ocean;15
398;ocean;15
399;ocean;15
400;ocean;15
401;ocean;15
402;ocean;15
403;ocean;15
404;ocean;15
405;ocean;15
406;ocean;15
407;ocean;15
408;ocean;15
409;ocean;15
410;ocean;15
411;ocean;15
412;ocean;15
413;lakes;17
414;ocean;15
415;ocean;15
416;ocean;15
417;ocean;15
418;ocean;15
419;ocean;15
420;plains;4
421;plains;4
422;plains;4
423;plains;4
424;plains;4
425;frozen;16
426;frozen;16
427;frozen;16
428;frozen;16
429;mountain;6
430;frozen;16
431;mountain;6
432;frozen;16
433;mountain;6
434;ocean;15
435;ocean;15
436;ocean;15
437;ocean;15
438;ocean;15
439;ocean;15
440;ocean;15
441;ocean;15
442;ocean;15
443;ocean;15
444;ocean;15
445;ocean;15
446;ocean;15
447;ocean;15
448;ocean;15
449;ocean;15
450;ocean;15
451;ocean;15
452;ocean;15
453;ocean;15
454;ocean;15
455;ocean;15
456;ocean;15
457;ocean;15
458;ocean;15
459;ocean;15
460;ocean;15
461;ocean;15
462;ocean;15
463;ocean;15
464;ocean;15
465;ocean;15
466;ocean;15
467;ocean;15
468;ocean;15
469;ocean;15
470;ocean;15
471;ocean;15
472;ocean;15
473;ocean;15
474;ocean;15
475;ocean;15
476;ocean;15
477;ocean;15
478;ocean;15
479;ocean;15
480;ocean;15
481;ocean;15
482;ocean;15
483;ocean;15
484;ocean;15
485;ocean;15
486;ocean;15
487;ocean;15
488;ocean;15
489;ocean;15
490;ocean;15
491;ocean;15
492;ocean;15
493;ocean;15
494;ocean;15
495;ocean;15
496;ocean;15
497;ocean;15
498;ocean;15
499;ocean;15
500;ocean;15
501;ocean;15
502;ocean;15
503;ocean;15
504;ocean;15
505;ocean;15
506;ocean;15
507;ocean;15
508;ocean;15
509;ocean;15
510;ocean;15
511;ocean;15
512;ocean;15
513;ocean;15
514;ocean;15
515;ocean;15
516;ocean;15
517;ocean;15
518;ocean;15
519;ocean;15
520;ocean;15
521;ocean;15
522;ocean;15
523;ocean;15
524;ocean;15
525;ocean;15
526;ocean;15
527;ocean;15
528;ocean;15
529;ocean;15
530;ocean;15
531;ocean;15
532;ocean;15
533;ocean;15
534;ocean;15
535;ocean;15
536;ocean;15
537;ocean;15
538;ocean;15
539;ocean;15
540;ocean;15
541;ocean;15
542;ocean;15
543;ocean;15
544;ocean;15
545;ocean;15
546;ocean;15
547;ocean;15
548;ocean;15
549;ocean;15
550;ocean;15
551;ocean;15
552;ocean;15
553;ocean;15
554;ocean;15
555;ocean;15
556;ocean;15
557;ocean;15
558;ocean;15
559;ocean;15
560;ocean;15
561;ocean;15
562;ocean;15
563;ocean;15
564;ocean;15
565;ocean;15
566;ocean;15
567;ocean;15
568;ocean;15
569;ocean;15
570;ocean;15
571;ocean;15
572;ocean;15
573;ocean;15
574;ocean;15
575;ocean;15
576;ocean;15
577;ocean;15
578;ocean;15
579;ocean;15
580;ocean;15
581;ocean;15
582;ocean;15
583;ocean;15
584;ocean;15
585;ocean;15
586;ocean;15
587;ocean;15
588;ocean;15
589;ocean;15
590;ocean;15
591;ocean;15
592;ocean;15
593;ocean;15
594;ocean;15
595;ocean;15
596;ocean;15
597;ocean;15
598;ocean;15
599;ocean;15
600;ocean;15
601;ocean;15
602;ocean;15
603;ocean;15
604;ocean;15
605;ocean;15
606;ocean;15
607;ocean;15
608;ocean;15
609;ocean;15
610;ocean;15
611;ocean;15
612;ocean;15
613;ocean;15
614;ocean;15
615;ocean;15
616;ocean;15
617;ocean;15
618;ocean;15
619;ocean;15
620;ocean;15
621;ocean;15
622;ocean;15
623;ocean;15
624;ocean;15
625;ocean;15
626;ocean;15
627;ocean;15
628;ocean;15
629;ocean;15
630;ocean;15
631;ocean;15
632;ocean;15
633;ocean;15
634;ocean;15
635;ocean;15
636;ocean;15
637;ocean;15
638;ocean;15
639;ocean;15
640;ocean;15
641;ocean;15
642;ocean;15
643;lakes;17
644;ocean;15
645;ocean;15
646;ocean;15
647;ocean;15
648;ocean;15
649;ocean;15
650;ocean;15
651;ocean;15
652;ocean;15
653;ocean;15
654;ocean;15
655;ocean;15
656;ocean;15
657;ocean;15
658;ocean;15
659;ocean;15
660;ocean;15
661;ocean;15
662;ocean;15
663;ocean;15
664;ocean;15
665;ocean;15
666;ocean;15
667;ocean;15
668;ocean;15
669;ocean;15
670;ocean;15
671;ocean;15
672;ocean;15
673;ocean;15
674;ocean;15
675;ocean;15
676;ocean;15
677;ocean;15
678;ocean;15
679;ocean;15
680;ocean;15
681;ocean;15
682;ocean;15
683;ocean;15
684;ocean;15
685;ocean;15
686;ocean;15
687;ocean;15
688;ocean;15
689;ocean;15
690;ocean;15
691;ocean;15
692;ocean;15
693;ocean;15
694;ocean;15
695;ocean;15
696;ocean;15
697;ocean;15
698;ocean;15
699;ocean;15
700;ocean;15
701;ocean;15
702;ocean;15
703;ocean;15
704;ocean;15
705;ocean;15
706;ocean;15
707;ocean;15
708;ocean;15
709;ocean;15
710;ocean;15
711;ocean;15
712;ocean;15
713;ocean;15
714;ocean;15
715;ocean;15
716;ocean;15
717;ocean;15
718;ocean;15
719;ocean;15
720;ocean;15
721;ocean;15
722;ocean;15
723;ocean;15
724;ocean;15
725;ocean;15
726;ocean;15
727;ocean;15
728;ocean;15
729;ocean;15
730;ocean;15
731;ocean;15
732;ocean;15
733;ocean;15
734;ocean;15
735;ocean;15
736;ocean;15
737;ocean;15
738;ocean;15
739;ocean;15
740;ocean;15
741;ocean;15
742;ocean;15
743;ocean;15
744;ocean;15
745;ocean;15
746;ocean;15
747;ocean;15
748;ocean;15
749;ocean;15
750;ocean;15
751;ocean;15
752;ocean;15
753;ocean;15
754;ocean;15
755;ocean;15
756;ocean;15
757;ocean;15
758;ocean;15
759;ocean;15
760;ocean;15
761;ocean;15
762;ocean;15
763;ocean;15
764;ocean;15
765;ocean;15
766;ocean;15
767;ocean;15
768;ocean;15
769;ocean;15
770;ocean;15
771;ocean;15
772;ocean;15
773;ocean;15
774;ocean;15
775;ocean;15
776;ocean;15
777;ocean;15
778;ocean;15
779;ocean;15
780;ocean;15
781;ocean;15
782;ocean;15
783;ocean;15
784;ocean;15
785;ocean;15
786;ocean;15
787;ocean;15
788;lakes;17
789;ocean;15
790;ocean;15
791;ocean;15
792;lakes;17
793;ocean;15
794;ocean;15
795;ocean;15
796;ocean;15
797;ocean;15
798;ocean;15
799;ocean;15
800;ocean;15
801;ocean;15
802;ocean;15
803;ocean;15
804;ocean;15
805;ocean;15
806;ocean;15
807;ocean;15
808;ocean;15
809;ocean;15
810;ocean;15
811;ocean;15
812;ocean;15
813;ocean;15
814;ocean;15
815;ocean;15
816;ocean;15
817;ocean;15
818;ocean;15
819;ocean;15
820;ocean;15
821;ocean;15
822;ocean;15
823;ocean;15
824;ocean;15
825;ocean;15
826;ocean;15
827;ocean;15
828;ocean;15
829;ocean;15
830;ocean;15
831;lakes;17
832;ocean;15
833;lakes;17
834;lakes;17
835;lakes;17
836;ocean;15
837;ocean;15
838;ocean;15
839;lakes;17
840;ocean;15
841;ocean;15
842;lakes;17
843;ocean;15
844;lakes;17
845;lakes;17
846;lakes;17
847;lakes;17
848;lakes;17
849;lakes;17
850;lakes;17
851;lakes;17
852;lakes;17
853;lakes;17
854;lakes;17
855;lakes;17
856;lakes;17
857;lakes;17
858;lakes;17
859;lakes;17
860;lakes;17
861;lakes;17
862;lakes;17
863;lakes;17
864;lakes;17
865;lakes;17
866;lakes;17
867;lakes;17
868;lakes;17
869;lakes;17
870;lakes;17
871;lakes;17
872;lakes;17
873;lakes;17
874;lakes;17
875;lakes;17
876;lakes;17
877;lakes;17
878;lakes;17
879;lakes;17
880;lakes;17
881;lakes;17
882;lakes;17
883;lakes;17
884;lakes;17
885;lakes;17
886;lakes;17
887;lakes;17
888;lakes;17
889;lakes;17
890;lakes;17
891;lakes;17
892;lakes;17
893;lakes;17
894;lakes;17
895;lakes;17
896;lakes;17
897;lakes;17
898;lakes;17
899;lakes;17
900;lakes;17
901;lakes;17
902;lakes;17
903;lakes;17
904;lakes;17
905;lakes;17
906;lakes;17
907;lakes;17
908;lakes;17
909;lakes;17
910;lakes;17
911;lakes;17
912;lakes;17
913;lakes;17
914;lakes;17
915;lakes;17
916;lakes;17
917;lakes;17
918;lakes;17
919;lakes;17
920;lakes;17
921;lakes;17
922;lakes;17
923;lakes;17
924;lakes;17
925;lakes;17
926;lakes;17
927;lakes;17
928;lakes;17
929;lakes;17
930;lakes;17
931;lakes;17
932;lakes;17
933;lakes;17
934;lakes;17
935;lakes;17
936;lakes;17
937;lakes;17
938;lakes;17
939;lakes;17
940;lakes;17
941;lakes;17
942;lakes;17
943;lakes;17
944;lakes;17
945;lakes;17
946;lakes;17
947;lakes;17
948;lakes;17
949;lakes;17
950;lakes;17
951;lakes;17
952;lakes;17
953;lakes;17
954;lakes;17
955;ocean;15
956;lakes;17
957;lakes;17
958;lakes;17
959;ocean;15
960;ocean;15
961;jungle;254
962;plains;4
963;plains;4
964;forest;12
965;forest;12
966;forest;12
967;forest;12
968;mountain;6
969;mountain;6
970;mountain;6
971;urban;10
972;mountain;6
973;mountain;6
974;hills;1
975;hills;1
976;hills;1
977;hills;1
978;hills;1
979;hills;1
980;hills;1
981;plains;4
982;plains;4
983;plains;4
984;plains;4
985;plains;4
986;plains;4
987;urban;10
988;plains;4
989;hills;1
990;plains;4
991;plains;4
992;hills;1
993;plains;4
994;plains;4
995;hills;1
996;hills;1
997;forest;12
998;plains;4
999;forest;12
1000;forest;12
1001;forest;12
1002;forest;12
1003;marsh;9
1004;urban;10
1005;urban;10
1006;plains;4
1007;plains;4
1008;hills;1
1009;hills;1
1010;hills;1
1011;hills;1
1012;plains;4
1013;plains;4
1014;plains;4
1015;plains;4
1016;hills;1
1017;urban;10
1018;hills;1
1019;hills;1
1020;hills;1
1021;plains;4
1022;plains;4
1023;plains;4
1024;plains;4
1025;hills;1
1026;plains;4
1027;plains;4
1028;urban;10
1029;plains;4
1030;urban;10
1031;hills;1
1032;plains;4
1033;forest;12
1034;urban;10
1035;plains;4
1036;plains;4
1037;plains;4
1038;plains;4
1039;plains;4
1040;plains;4
1041;plains;4
1042;plains;4
1043;plains;4
1044;hills;1
1045;plains;4
1046;plains;4
1047;plains;4
1048;hills;1
1049;plains;4
1050;plains;4
1051;plains;4
1052;plains;4
1053;urban;10
1054;plains;4
1055;plains;4
1056;urban;10
1057;urban;10
1058;plains;4
1059;plains;4
1060;hills;1
1061;hills;1
1062;plains;4
1063;plains;4
1064;plains;4
1065;forest;12
1066;forest;12
1067;plains;4
1068;urban;10
1069;forest;12
1070;desert;3
1071;desert;3
1072;desert;3
1073;plains;4
1074;plains;4
1075;plains;4
1076;plains;4
1077;forest;12
1078;forest;12
1079;plains;4
1080;forest;12
1081;forest;12
1082;forest;12
1083;forest;12
1084;forest;12
1085;forest;12
1086;plains;4
1087;plains;4
1088;plains;4
1089;plains;4
1090;plains;4
1091;mountain;6
1092;mountain;6
1093;forest;12
1094;forest;12
1095;forest;12
1096;plains;4
1097;plains;4
1098;plains;4
1099;plains;4
1100;plains;4
1101;marsh;9
1102;plains;4
1103;plains;4
1104;forest;12
1105;forest;12
1106;forest;12
1107;marsh;9
1108;marsh;9
1109;hills;1
1110;hills;1
1111;plains;4
1112;hills;1
1113;forest;12
1114;plains;4
1115;plains;4
1116;plains;4
1117;plains;4
1118;plains;4
1119;plains;4
1120;plains;4
1121;plains;4
1122;plains;4
1123;forest;12
1124;marsh;9
1125;marsh;9
1126;hills;1
1127;hills;1
1128;forest;12
1129;forest;12
1130;forest;12
1131;plains;4
1132;plains;4
1133;plains;4
1134;plains;4
1135;plains;4
1136;plains;4
1137;plains;4
1138;plains;4
1139;plains;4
1140;plains;4
1141;marsh;9
1142;marsh;9
1143;plains;4
1144;plains;4
1145;plains;4
1146;plains;4
1147;plains;4
1148;plains;4
1149;hills;1
1150;hills;1
1151;plains;4
1152;hills;1
1153;plains;4
1154;forest;12
1155;forest;12
1156;plains;4
1157;plains;4
1158;plains;4
1159;hills;1
1160;forest;12
1161;plains;4
1162;hills;1
1163;plains;4
1164;plains;4
1165;jungle;254
1166;jungle;254
1167;jungle;254
1168;plains;4
1169;hills;1
1170;hills;1
1171;plains;4
1172;plains;4
1173;plains;4
1174;plains;4
1175;hills;1
1176;hills;1
1177;plains;4
1178;plains;4
1179;plains;4
1180;urban;10
1181;plains;4
1182;plains;4
1183;plains;4
1184;plains;4
1185;plains;4
1186;plains;4
1187;mountain;6
1188;plains;4
1189;plains;4
1190;hills;1
1191;hills;1
1192;hills;1
1193;plains;4
1194;plains;4
1195;plains;4
1196;plains;4
1197;plains;4
1198;hills;1
1199;hills;1
1200;plains;4
1201;plains;4
1202;plains;4
1203;hills;1
1204;plains;4
1205;plains;4
1206;plains;4
1207;plains;4
1208;plains;4
1209;plains;4
1210;plains;4
1211;plains;4
1212;plains;4
1213;plains;4
1214;plains;4
1215;desert;3
1216;plains;4
1217;plains;4
1218;plains;4
1219;hills;1
1220;hills;1
1221;desert;3
1222;hills;1
1223;hills;1
1224;desert;3
1225;plains;4
1226;mountain;6
1227;plains;4
1228;plains;4
1229;plains;4
1230;plains;4
1231;plains;4
1232;plains;4
1233;forest;12
1234;plains;4
1235;plains;4
1236;plains;4
1237;plains;4
1238;plains;4
1239;plains;4
1240;hills;1
1241;hills;1
1242;mountain;6
1243;hills;1
1244;plains;4
1245;hills;1
1246;mountain;6
1247;plains;4
1248;plains;4
1249;hills;1
1250;plains;4
1251;hills;1
1252;forest;12
1253;desert;3
1254;desert;3
1255;plains;4
1256;plains;4
1257;hills;1
1258;marsh;9
1259;marsh;9
1260;plains;4
1261;plains;4
1262;plains;4
1263;plains;4
1264;plains;4
1265;plains;4
1266;plains;4
1267;plains;4
1268;plains;4
1269;plains;4
1270;forest;12
1271;plains;4
1272;forest;12
1273;plains;4
1274;plains;4
1275;plains;4
1276;plains;4
1277;plains;4
1278;plains;4
1279;plains;4
1280;plains;4
1281;plains;4
1282;hills;1
1283;hills;1
1284;plains;4
1285;desert;3
1286;mountain;6
1287;desert;3
1288;mountain;6
1289;hills;1
1290;hills;1
1291;hills;1
1292;urban;10
1293;urban;10
1294;urban;10
1295;plains;4
1296;hills;1
1297;plains;4
1298;plains;4
1299;plains;4
1300;plains;4
1301;hills;1
1302;hills;1
1303;hills;1
1304;forest;12
1305;plains;4
1306;plains;4
1307;plains;4
1308;plains;4
1309;hills;1
1310;hills;1
1311;plains;4
1312;hills;1
1313;plains;4
1314;hills;1
1315;hills;1
1316;hills;1
1317;hills;1
1318;hills;1
1319;plains;4
1320;plains;4
1321;desert;3
1322;desert;3
1323;desert;3
1324;marsh;9
1325;plains;4
1326;marsh;9
1327;plains;4
1328;hills;1
1329;hills;1
1330;plains;4
1331;desert;3
1332;plains;4
1333;plains;4
1334;forest;12
1335;forest;12
1336;plains;4
1337;hills;1
1338;hills;1
1339;hills;1
1340;plains;4
1341;plains;4
1342;plains;4
1343;plains;4
1344;hills;1
1345;plains;4
1346;jungle;254
1347;forest;12
1348;forest;12
1349;plains;4
1350;plains;4
1351;plains;4
1352;hills;1
1353;desert;3
1354;desert;3
1355;plains;4
1356;plains;4
1357;plains;4
1358;hills;1
1359;plains;4
1360;plains;4
1361;plains;4
1362;plains;4
1363;plains;4
1364;mountain;6
1365;desert;3
1366;plains;4
1367;plains;4
1368;desert;3
1369;desert;3
1370;plains;4
1371;plains;4
1372;jungle;254
1373;plains;4
1374;plains;4
1375;forest;12
1376;plains;4
1377;forest;12
1378;mountain;6
1379;plains;4
1380;plains;4
1381;plains;4
1382;hills;1
1383;plains;4
1384;forest;12
1385;plains;4
1386;plains;4
1387;plains;4
1388;plains;4
1389;forest;12
1390;forest;12
1391;forest;12
1392;plains;4
1393;plains;4
1394;plains;4
1395;plains;4
1396;desert;3
1397;desert;3
1398;desert;3
1399;forest;12
1400;plains;4
1401;forest;12
1402;plains;4
1403;plains;4
1404;plains;4
1405;plains;4
1406;plains;4
1407;desert;3
1408;plains;4
1409;plains;4
1410;plains;4
1411;plains;4
1412;plains;4
1413;plains;4
1414;plains;4
1415;hills;1
1416;hills;1
1417;hills;1
1418;hills;1
1419;plains;4
1420;plains;4
1421;forest;12
1422;desert;3
1423;desert;3
1424;plains;4
1425;plains;4
1426;plains;4
1427;plains;4
1428;forest;12
1429;desert;3
1430;plains;4
1431;forest;12
1432;urban;10
1433;forest;12
1434;plains;4
1435;jungle;254
1436;marsh;9
1437;plains;4
1438;plains;4
1439;plains;4
1440;plains;4
1441;plains;4
1442;plains;4
1443;plains;4
1444;plains;4
1445;forest;12
1446;jungle;254
1447;plains;4
1448;forest;12
1449;plains;4
1450;desert;3
1451;desert;3
1452;desert;3
1453;desert;3
1454;plains;4
1455;plains;4
1456;plains;4
1457;plains;4
1458;plains;4
1459;urban;10
1460;urban;10
1461;forest;12
1462;forest;12
1463;marsh;9
1464;desert;3
1465;desert;3
1466;desert;3
1467;jungle;254
1468;jungle;254
1469;jungle;254
1470;marsh;9
1471;hills;1
1472;forest;12
1473;plains;4
1474;forest;12
1475;hills;1
1476;desert;3
1477;desert;3
1478;desert;3
1479;desert;3
1480;plains;4
1481;plains;4
1482;forest;12
1483;plains;4
1484;plains;4
1485;plains;4
1486;plains;4
1487;plains;4
1488;plains;4
1489;desert;3
1490;desert;3
1491;desert;3
1492;desert;3
1493;desert;3
1494;plains;4
1495;plains;4
1496;hills;1
1497;plains;4
1498;hills;1
1499;hills;1
1500;plains;4
1501;plains;4
1502;plains;4
1503;plains;4
1504;plains;4
1505;forest;12
1506;plains;4
1507;forest;12
1508;plains;4
1509;forest;12
1510;plains;4
1511;jungle;254
1512;jungle;254
1513;plains;4
1514;plains;4
1515;hills;1
1516;hills;1
1517;plains;4
1518;plains;4
1519;plains;4
1520;plains;4
1521;plains;4
1522;hills;1
1523;hills;1
1524;hills;1
1525;jungle;254
1526;jungle;254
1527;desert;3
1528;hills;1
1529;plains;4
1530;plains;4
1531;forest;12
1532;hills;1
1533;hills;1
1534;hills;1
1535;plains;4
1536;plains;4
1537;desert;3
1538;desert;3
1539;desert;3
1540;desert;3
1541;desert;3
1542;desert;3
1543;desert;3
1544;forest;12
1545;forest;12
1546;plains;4
1547;plains;4
1548;desert;3
1549;plains;4
1550;plains;4
1551;plains;4
1552;plains;4
1553;plains;4
1554;forest;12
1555;forest;12
1556;plains;4
1557;plains;4
1558;forest;12
1559;forest;12
1560;desert;3
1561;hills;1
1562;desert;3
1563;forest;12
1564;hills;1
1565;plains;4
1566;desert;3
1567;hills;1
1568;desert;3
1569;hills;1
1570;desert;3
1571;forest;12
1572;hills;1
1573;plains;4
1574;plains;4
1575;jungle;254
1576;hills;1
1577;jungle;254
1578;hills;1
1579;hills;1
1580;hills;1
1581;hills;1
1582;plains;4
1583;plains;4
1584;plains;4
1585;plains;4
1586;forest;12
1587;plains;4
1588;plains;4
1589;plains;4
1590;plains;4
1591;forest;12
1592;forest;12
1593;forest;12
1594;plains;4
1595;plains;4
1596;hills;1
1597;plains;4
1598;plains;4
1599;plains;4
1600;plains;4
1601;plains;4
1602;forest;12
1603;forest;12
1604;hills;1
1605;hills;1
1606;hills;1
1607;hills;1
1608;hills;1
1609;mountain;6
1610;plains;4
1611;plains;4
1612;forest;12
1613;plains;4
1614;forest;12
1615;plains;4
1616;forest;12
1617;hills;1
1618;plains;4
1619;plains;4
1620;plains;4
1621;plains;4
1622;plains;4
1623;forest;12
1624;plains;4
1625;hills;1
1626;plains;4
1627;hills;1
1628;plains;4
1629;plains;4
1630;forest;12
1631;plains;4
1632;hills;1
1633;plains;4
1634;plains;4
1635;plains;4
1636;hills;1
1637;hills;1
1638;plains;4
1639;plains;4
1640;plains;4
1641;plains;4
1642;plains;4
1643;plains;4
1644;forest;12
1645;plains;4
1646;plains;4
1647;desert;3
1648;desert;3
1649;desert;3
1650;plains;4
1651;plains;4
1652;plains;4
1653;plains;4
1654;urban;10
1655;marsh;9
1656;desert;3
1657;jungle;254
1658;jungle;254
1659;jungle;254
1660;jungle;254
1661;desert;3
1662;desert;3
1663;desert;3
1664;desert;3
1665;desert;3
1666;desert;3
1667;desert;3
1668;forest;12
1669;forest;12
1670;plains;4
1671;plains;4
1672;plains;4
1673;plains;4
1674;plains;4
1675;plains;4
1676;plains;4
1677;plains;4
1678;plains;4
1679;plains;4
1680;plains;4
1681;forest;12
1682;hills;1
1683;desert;3
1684;jungle;254
1685;urban;10
1686;plains;4
1687;desert;3
1688;desert;3
1689;desert;3
1690;desert;3
1691;urban;10
1692;plains;4
1693;forest;12
1694;forest;12
1695;plains;4
1696;plains;4
1697;plains;4
1698;plains;4
1699;plains;4
1700;plains;4
1701;plains;4
1702;hills;1
1703;plains;4
1704;hills;1
1705;desert;3
1706;hills;1
1707;forest;12
1708;plains;4
1709;hills;1
1710;plains;4
1711;plains;4
1712;plains;4
1713;plains;4
1714;plains;4
1715;plains;4
1716;hills;1
1717;plains;4
1718;plains;4
1719;plains;4
1720;plains;4
1721;plains;4
1722;forest;12
1723;plains;4
1724;plains;4
1725;plains;4
1726;forest;12
1727;forest;12
1728;hills;1
1729;forest;12
1730;forest;12
1731;plains;4
1732;plains;4
1733;plains;4
1734;hills;1
1735;plains;4
1736;plains;4
1737;plains;4
1738;plains;4
1739;plains;4
1740;jungle;254
1741;hills;1
1742;hills;1
1743;plains;4
1744;plains;4
1745;hills;1
1746;plains;4
1747;forest;12
1748;desert;3
1749;plains;4
1750;jungle;254
1751;hills;1
1752;plains;4
1753;plains;4
1754;plains;4
