eu4_area;internal_key;display_name;hoi4_state_id;hoi4_state_name;province_count
191;fu_state_area_1042;Kronkozavodsk;1042;Kronkozavodsk;5
192;fu_state_area_425;Plavevivorea;425;Plavevivorea;8
193;fu_state_area_914;D.U.G.A. Array;914;D.U.G.A. Array;6
194;fu_state_area_1416;Darinstadt;1416;Darinstadt;7
195;fu_state_area_1198;Girardought;1198;Girardought;5
196;fu_state_area_1458;Kibbleshaven;1458;Kibbleshaven;6
197;fu_state_area_977;Tipanum;977;Tipanum;7
198;fu_state_area_1472;Les Mosges;1472;Les Mosges;6
199;fu_state_area_1518;Lower Fodaria 4;1518;Lower Fodaria 4;5
200;fu_state_area_756;Volcabun;756;Volcabun;7
201;fu_state_area_1514;East Temperia 15;1514;East Temperia 15;6
202;fu_state_area_814;Distretto dei Pescatori;814;Distretto dei Pescatori;5
203;fu_state_area_108;Odabin;108;Odabin;6
204;fu_state_area_1547;Katznimbov;1547;Katznimbov;6
205;fu_state_area_1167;Epoustouflant;1167;Epoustouflant;7
206;fu_state_area_1450;Karnon;1450;Karnon;6
207;fu_state_area_268;Nouvelle-Ronronlin;268;Nouvelle-Ronronlin;5
208;fu_state_area_166;Kronkozavodsk;166;Kronkozavodsk;6
209;fu_state_area_1528;Orefograd;1528;Orefograd;6
210;fu_state_area_1116;Meowrres;1116;Meowrres;6
211;fu_state_area_584;Mewbiere;584;Mewbiere;6
212;fu_state_area_544;Narnburg;544;Narnburg;6
213;fu_state_area_314;Limasin;314;Limasin;7
214;fu_state_area_1312;North Slithervich;1312;North Slithervich;8
215;fu_state_area_249;Near West Démotagne;249;Near West Démotagne;5
216;fu_state_area_1452;Daskander;1452;Daskander;5
217;fu_state_area_150;Khesedien;150;Khesedien;7
218;fu_state_area_225;Krrama;225;Krrama;8
219;fu_state_area_225_2;Krrama;225;Krrama;1
220;fu_state_area_1471;Ville-Bruand;1471;Ville-Bruand;6
221;fu_state_area_1151;West Cize;1151;West Cize;7
222;fu_state_area_1290;Rowninalesna;1290;Rowninalesna;8
223;fu_state_area_1297;Far West Westpaw 3;1297;Far West Westpaw 3;6
224;fu_state_area_1304;Far South Infernum's Castle;1304;Far South Infernum's Castle;1
225;fu_state_area_1297_2;Far West Westpaw 3;1297;Far West Westpaw 3;2
226;fu_state_area_1218;East Yinjatzbereich;1218;East Yinjatzbereich;6
227;fu_state_area_1219;Near South Northern Ezicania;1219;Near South Northern Ezicania;4
228;fu_state_area_415;Seaside Groves;415;Seaside Groves;8
229;fu_state_area_971;Usswaeri;971;Usswaeri;7
230;fu_state_area_996;Ulzulgukh;996;Ulzulgukh;7
231;fu_state_area_946;Palikova Interlakia;946;Palikova Interlakia;8
232;fu_state_area_1105;Near East Brewtun;1105;Near East Brewtun;8
233;fu_state_area_541;Cathy;541;Cathy;7
234;fu_state_area_479;Nord-Purrgund;479;Nord-Purrgund;6
235;fu_state_area_1432;Central Kharna 8;1432;Central Kharna 8;8
236;fu_state_area_62;Pawris;62;Pawris;6
237;fu_state_area_1122;Calderbug;1122;Calderbug;6
238;fu_state_area_1121;Dunedocks;1121;Dunedocks;3
239;fu_state_area_847;Gtuntuh;847;Gtuntuh;8
240;fu_state_area_1026;South Vasmar Ridge;1026;South Vasmar Ridge;6
241;fu_state_area_207;Bulleborné;207;Bulleborné;7
242;fu_state_area_502;Platnum;502;Platnum;7
243;fu_state_area_78;Tigar;78;Tigar;7
244;fu_state_area_69;Clawlingen;69;Clawlingen;8
245;fu_state_area_155;Zhagrebenstadt;155;Zhagrebenstadt;6
246;fu_state_area_180;Alraxian Plains;180;Alraxian Plains;8
247;fu_state_area_320;Lutécie;320;Lutécie;6
248;fu_state_area_1474;Lugédunume;1474;Lugédunume;3
249;fu_state_area_1451;Meopastadt;1451;Meopastadt;6
250;fu_state_area_336;Alkroa;336;Alkroa;6
251;fu_state_area_559;Luchsi;559;Luchsi;3
252;fu_state_area_911;Sapiniere;911;Sapiniere;3
253;fu_state_area_1348;Lanterien;1348;Lanterien;3
254;fu_state_area_1440;Victoneustadt;1440;Victoneustadt;3
255;fu_state_area_765;Western Shores;765;Western Shores;4
256;fu_state_area_377;Seagoers' Republic;377;Seagoers' Republic;3
257;fu_state_area_338;Albathorn;338;Albathorn;3
258;fu_state_area_601;Neukatstadt;601;Neukatstadt;3
259;fu_state_area_1005;Tirh Khaz'dan;1005;Tirh Khaz'dan;3
260;fu_state_area_1079;Sabhanita;1079;Sabhanita;3
261;fu_state_area_535;Mewselle;535;Mewselle;3
262;fu_state_area_885;S. Arivoejan Mountains;885;S. Arivoejan Mountains;3
263;fu_state_area_819;Upper Ganymeda;819;Upper Ganymeda;3
264;fu_state_area_1425;Mont Gargame;1425;Mont Gargame;4
265;fu_state_area_481;Winston;481;Winston;3
266;fu_state_area_222;Far South Démotagne;222;Far South Démotagne;3
267;fu_state_area_789;Heavenbun;789;Heavenbun;4
268;fu_state_area_1004;Vhi Bramokh;1004;Vhi Bramokh;4
269;fu_state_area_654;Derdoux;654;Derdoux;3
270;fu_state_area_1349;Brashten;1349;Brashten;3
271;fu_state_area_1541;Kronkienstadt;1541;Kronkienstadt;3
272;fu_state_area_892;Dourouhtei;892;Dourouhtei;3
273;fu_state_area_1482;Lower Fodaria 13;1482;Lower Fodaria 13;3
274;fu_state_area_1546;West Fodaria 16;1546;West Fodaria 16;3
275;fu_state_area_890;Xeirko;890;Xeirko;3
276;fu_state_area_206;Drakwald;206;Drakwald;3
277;fu_state_area_734;Pagen;734;Pagen;4
278;fu_state_area_1044;Kronknoyarskien;1044;Kronknoyarskien;3
279;fu_state_area_716;Tarva;716;Tarva;3
280;fu_state_area_112;Vestefoldij;112;Vestefoldij;3
281;fu_state_area_780;Foraoise Cairead;780;Foraoise Cairead;3
282;fu_state_area_1006;Mazhuddar;1006;Mazhuddar;4
283;fu_state_area_1106;Great Ape Groves;1106;Great Ape Groves;4
284;fu_state_area_1313;Greater Bundengrad;1313;Greater Bundengrad;4
285;fu_state_area_556;Channecy;556;Channecy;4
286;fu_state_area_720;Xuhre;720;Xuhre;4
287;fu_state_area_840;Bocerie du Sud;840;Bocerie du Sud;3
288;fu_state_area_66;Raita;66;Raita;4
289;fu_state_area_1483;Far North Fodaria 14;1483;Far North Fodaria 14;4
290;fu_state_area_997;Khakhabad;997;Khakhabad;3
291;fu_state_area_763;Upbuntrick;763;Upbuntrick;3
292;fu_state_area_272;Sonyabourg;272;Sonyabourg;4
293;fu_state_area_428;Eden;428;Eden;3
294;fu_state_area_653;Kaisershafen;653;Kaisershafen;4
295;fu_state_area_1334;Sporegazi;1334;Sporegazi;4
296;fu_state_area_186;Northern Crngrad;186;Northern Crngrad;3
297;fu_state_area_1081;Far East Lokout 8;1081;Far East Lokout 8;4
298;fu_state_area_313;Silver-Match;313;Silver-Match;3
299;fu_state_area_1104;East Monke Slopes;1104;East Monke Slopes;5
300;fu_state_area_573;Xoeken;573;Xoeken;5
301;fu_state_area_655;Elowinien;655;Elowinien;3
302;fu_state_area_321;Animéquitaine;321;Animéquitaine;3
303;fu_state_area_202;Gross-Amphisk;202;Gross-Amphisk;3
304;fu_state_area_823;Chok;823;Chok;4
305;fu_state_area_120;Nord-Amphisk;120;Nord-Amphisk;4
306;fu_state_area_19;Pawmalay;19;Pawmalay;5
307;fu_state_area_152;Zhytotska;152;Zhytotska;4
308;fu_state_area_102;Central Ezicania;102;Central Ezicania;3
309;fu_state_area_1011;Shroomfluss;1011;Shroomfluss;3
310;fu_state_area_555;Sudstruken;555;Sudstruken;3
311;fu_state_area_1341;Ghyatte;1341;Ghyatte;3
312;fu_state_area_381;Karrotia;381;Karrotia;3
313;fu_state_area_1113;Grovati;1113;Grovati;4
314;fu_state_area_495;Isthriciti;495;Isthriciti;4
315;fu_state_area_264;Goaghan Mountains;264;Goaghan Mountains;3
316;fu_state_area_1448;Portélie;1448;Portélie;3
317;fu_state_area_935;Slavoniciti;935;Slavoniciti;4
318;fu_state_area_93;Krorilsk;93;Krorilsk;3
319;fu_state_area_332;Genièvre;332;Genièvre;4
320;fu_state_area_1370;Distretto Montano;1370;Distretto Montano;3
321;fu_state_area_1466;Pimoussebühl;1466;Pimoussebühl;4
322;fu_state_area_929;Novemberstadt;929;Novemberstadt;3
323;fu_state_area_657;Teuyaka;657;Teuyaka;4
324;fu_state_area_1050;Angriverien;1050;Angriverien;4
325;fu_state_area_1490;East Amphibia 6;1490;East Amphibia 6;4
326;fu_state_area_947;Diberre Woods;947;Diberre Woods;4
327;fu_state_area_301;Biti;301;Biti;3
328;fu_state_area_558;Mount Kitts;558;Mount Kitts;4
329;fu_state_area_949;Novania's Shores;949;Novania's Shores;4
330;fu_state_area_962;Waterdeen;962;Waterdeen;4
331;fu_state_area_1538;East Neminia 9;1538;East Neminia 9;4
332;fu_state_area_569;Zawrich;569;Zawrich;3
333;fu_state_area_985;Bramble Woods;985;Bramble Woods;4
334;fu_state_area_271;Ganymeda;271;Ganymeda;4
335;fu_state_area_157;Landslid;157;Landslid;4
336;fu_state_area_1435;Kaiserburg 2;1435;Kaiserburg 2;3
337;fu_state_area_1230;Salmion;1230;Salmion;4
338;fu_state_area_1536;Kufa;1536;Kufa;5
339;fu_state_area_740;Lylle;740;Lylle;3
340;fu_state_area_40;Darin;40;Darin;4
341;fu_state_area_619;Shroom Valley;619;Shroom Valley;4
342;fu_state_area_1099;Fungalhalla;1099;Fungalhalla;4
343;fu_state_area_248;Poniweh;248;Poniweh;3
344;fu_state_area_735;Kaillen;735;Kaillen;3
345;fu_state_area_1086;Far East Lokout;1086;Far East Lokout;4
346;fu_state_area_1362;Near West Dazhungli;1362;Near West Dazhungli;4
347;fu_state_area_118;Sud-Solagnaw;118;Sud-Solagnaw;4
348;fu_state_area_877;Seeker's Cove;877;Seeker's Cove;1
349;fu_state_area_146;Katzenfluss;146;Katzenfluss;4
350;fu_state_area_487;Ost-Lynxsi;487;Ost-Lynxsi;4
351;fu_state_area_182;Far North Ezicania Pass 3;182;Far North Ezicania Pass 3;4
352;fu_state_area_1443;West Kibblesben;1443;West Kibblesben;4
353;fu_state_area_340;Die;340;Die;3
354;fu_state_area_779;Bunvelline;779;Bunvelline;5
355;fu_state_area_1540;Yasnodrien;1540;Yasnodrien;4
356;fu_state_area_253;Great Calder Peak;253;Great Calder Peak;4
357;fu_state_area_258;Gallicie;258;Gallicie;4
358;fu_state_area_1516;Kattailsburg;1516;Kattailsburg;4
359;fu_state_area_1049;West Greater Bundengrad;1049;West Greater Bundengrad;4
360;fu_state_area_1441;Meowhorn;1441;Meowhorn;4
361;fu_state_area_71;Kronkishes Enonita;71;Kronkishes Enonita;3
362;fu_state_area_1529;Upper Fodaria 15;1529;Upper Fodaria 15;4
363;fu_state_area_917;Temenice;917;Temenice;4
364;fu_state_area_1534;Far West Fodaria 5;1534;Far West Fodaria 5;4
365;fu_state_area_983;Feedwater;983;Feedwater;4
366;fu_state_area_588;Katzi;588;Katzi;3
367;fu_state_area_151;Stollparche;151;Stollparche;4
368;fu_state_area_358;Baltiquie Inferieure;358;Baltiquie Inferieure;4
369;fu_state_area_961;Northern Solstice;961;Northern Solstice;4
370;fu_state_area_1333;Near East Lokout;1333;Near East Lokout;5
371;fu_state_area_1437;Solagnaw;1437;Solagnaw;3
372;fu_state_area_922;Trondelague;922;Trondelague;4
373;fu_state_area_113;Neukitberg;113;Neukitberg;4
374;fu_state_area_231;Kikol;231;Kikol;4
375;fu_state_area_242;Meowbrucken;242;Meowbrucken;3
376;fu_state_area_908;Crngrad Megapolis;908;Crngrad Megapolis;4
377;fu_state_area_1418;Praw;1418;Praw;5
378;fu_state_area_1001;Vhi Sobhanas;1001;Vhi Sobhanas;4
379;fu_state_area_662;Wolfenstadt;662;Wolfenstadt;3
380;fu_state_area_1000;Ad Khagaroth;1000;Ad Khagaroth;4
381;fu_state_area_803;Neu-Meo;803;Neu-Meo;3
382;fu_state_area_1513;South Fodaria 14;1513;South Fodaria 14;3
383;fu_state_area_954;Reijen;954;Reijen;4
384;fu_state_area_1377;Racogna;1377;Racogna;4
385;fu_state_area_1431;Tartaryn;1431;Tartaryn;4
386;fu_state_area_955;Paol;955;Paol;4
387;fu_state_area_1375;Amburbia;1375;Amburbia;4
388;fu_state_area_942;Droogenstadt;942;Droogenstadt;4
389;fu_state_area_737;Cularie;737;Cularie;4
390;fu_state_area_308;Massif Roqual;308;Massif Roqual;4
391;fu_state_area_1487;Shranglien;1487;Shranglien;4
392;fu_state_area_1468;Crimmatz;1468;Crimmatz;5
393;fu_state_area_371;Greater Thamplatin Area;371;Greater Thamplatin Area;4
394;fu_state_area_1426;Jeulie;1426;Jeulie;3
395;fu_state_area_663;Felineheim;663;Felineheim;4
396;fu_state_area_994;Dol Viiras;994;Dol Viiras;4
397;fu_state_area_494;Morel Falls;494;Morel Falls;4
398;fu_state_area_228;Tartaryn;228;Tartaryn;4
399;fu_state_area_1539;Meowzan;1539;Meowzan;4
400;fu_state_area_845;Lomo;845;Lomo;4
401;fu_state_area_1478;Magnitokronk;1478;Magnitokronk;4
402;fu_state_area_1015;Ravkan Range;1015;Ravkan Range;5
403;fu_state_area_307;Bocérie;307;Bocérie;4
404;fu_state_area_474;Ost-Meonelux;474;Ost-Meonelux;4
405;fu_state_area_236;Hubschestadt;236;Hubschestadt;4
406;fu_state_area_419;West Southport;419;West Southport;4
407;fu_state_area_560;Kibbleshores;560;Kibbleshores;4
408;fu_state_area_760;Covebun City;760;Covebun City;4
409;fu_state_area_1411;Kittville;1411;Kittville;4
410;fu_state_area_220;Himezulte;220;Himezulte;4
411;fu_state_area_1501;South Kronkia 2;1501;South Kronkia 2;4
412;fu_state_area_536;Katzbrucken;536;Katzbrucken;5
413;fu_state_area_1517;Upper Kronkia 3;1517;Upper Kronkia 3;4
414;fu_state_area_43;Meonelux;43;Meonelux;4
415;fu_state_area_1480;Chawrnihiv;1480;Chawrnihiv;5
416;fu_state_area_643;Parat;643;Parat;4
417;fu_state_area_665;Yarnfelde;665;Yarnfelde;5
418;fu_state_area_537;Stefanstadt;537;Stefanstadt;4
419;fu_state_area_368;Central Hushed Forest;368;Central Hushed Forest;4
420;fu_state_area_401;Firemaster Union;401;Firemaster Union;5
421;fu_state_area_67;Drugirafa;67;Drugirafa;4
422;fu_state_area_226;Volgokronk;226;Volgokronk;5
423;fu_state_area_1002;Gvin Minhaz;1002;Gvin Minhaz;4
424;fu_state_area_1047;East Ost-Hydronien;1047;East Ost-Hydronien;4
425;fu_state_area_590;Meownisberg;590;Meownisberg;4
426;fu_state_area_1152;North Ezicania Pass;1152;North Ezicania Pass;4
427;fu_state_area_566;Boogenstadt;566;Boogenstadt;4
428;fu_state_area_169;Lower Catalia;169;Lower Catalia;4
429;fu_state_area_1479;Salamandria;1479;Salamandria;4
430;fu_state_area_580;Catsden;580;Catsden;4
431;fu_state_area_925;Roghalande;925;Roghalande;4
432;fu_state_area_52;Or Tigas;52;Or Tigas;4
433;fu_state_area_1085;Mossxor;1085;Mossxor;3
434;fu_state_area_664;Felinesiedlung;664;Felinesiedlung;5
435;fu_state_area_1525;South Fodaria 11;1525;South Fodaria 11;4
436;fu_state_area_576;Fort Keneexno;576;Fort Keneexno;4
437;fu_state_area_1497;Far East Praw 13;1497;Far East Praw 13;4
438;fu_state_area_208;Oshian Holts;208;Oshian Holts;5
439;fu_state_area_273;Protondria;273;Protondria;5
440;fu_state_area_758;Bunork;758;Bunork;4
441;fu_state_area_1515;West Temperia 1;1515;West Temperia 1;4
442;fu_state_area_581;Kiat;581;Kiat;4
443;fu_state_area_1532;Yiarophila;1532;Yiarophila;4
444;fu_state_area_489;Neubelkan;489;Neubelkan;4
445;fu_state_area_1419;Kibblesben;1419;Kibblesben;5
446;fu_state_area_844;Wafburg;844;Wafburg;4
447;fu_state_area_1473;Areline;1473;Areline;4
448;fu_state_area_1039;Yasnbrask;1039;Yasnbrask;4
449;fu_state_area_591;Sud-Himezulte;591;Sud-Himezulte;3
450;fu_state_area_294;Greenwater;294;Greenwater;4
451;fu_state_area_851;Brongon Gede;851;Brongon Gede;4
452;fu_state_area_98;Felinda;98;Felinda;4
453;fu_state_area_1316;Shripenstadt;1316;Shripenstadt;4
